Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-01-05;73,00;4,21;4,21;2,81;46,33;2,15;8,59;3,22;4,29;20,00;3,00;34,00;1,00;18,00;13,00;8,00;12,00;23,00;0,00;8,00;3,00;4,00;0,00;7,00;1,00;6,00;4,00;21,00;8,00;1,00;7,00;2,00;6,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2020-01-12;63,00;8,59;2,86;1,43;42,95;5,34;5,34;3,20;1,07;22,00;1,00;35,00;37,00;11,00;8,00;20,00;10,00;27,00;0,00;4,00;0,00;1,00;2,00;8,00;2,00;8,00;1,00;14,00;3,00;0,00;1,00;1,00;2,00;0,00;9,00;1,00;0,00;0,00;0,00;0,00
2020-01-19;49,00;7,00;2,80;1,40;32,20;6,39;1,07;7,46;3,20;17,00;3,00;37,00;1,00;17,00;12,00;8,00;2,00;23,00;1,00;1,00;4,00;1,00;2,00;9,00;0,00;3,00;3,00;14,00;22,00;0,00;3,00;1,00;4,00;1,00;4,00;2,00;0,00;0,00;0,00;0,00
2020-01-26;66,00;9,83;4,21;5,62;30,89;8,52;0,00;6,39;2,13;11,00;0,00;22,00;2,00;10,00;8,00;12,00;10,00;13,00;0,00;8,00;2,00;0,00;2,00;7,00;0,00;2,00;1,00;13,00;12,00;1,00;9,00;12,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;86,00;9,87;7,05;2,82;33,84;9,56;2,12;8,49;4,25;17,00;0,00;26,00;4,00;16,00;7,00;17,00;14,00;14,00;0,00;2,00;2,00;1,00;0,00;7,00;0,00;4,00;1,00;6,00;7,00;0,00;7,00;2,00;4,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-02-09;94,00;9,97;2,85;1,42;21,36;4,32;5,40;108,05;2,16;21,00;0,00;35,00;0,00;21,00;7,00;10,00;16,00;21,00;0,00;13,00;2,00;1,00;0,00;9,00;2,00;3,00;8,00;24,00;2,00;1,00;2,00;0,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00
2020-02-16;61,00;8,51;4,26;2,84;34,05;4,28;2,14;6,42;1,07;14,00;1,00;22,00;6,00;11,00;6,00;7,00;7,00;10,00;0,00;8,00;2,00;3,00;1,00;6,00;2,00;1,00;2,00;10,00;7,00;0,00;1,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-02-23;46,00;5,58;6,97;0,00;29,27;3,21;4,28;5,35;3,21;15,00;1,00;19,00;1,00;9,00;7,00;6,00;7,00;19,00;0,00;8,00;1,00;0,00;2,00;3,00;0,00;3,00;4,00;10,00;3,00;1,00;2,00;1,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;53,00;4,30;4,30;0,00;25,78;3,24;1,08;7,57;1,08;11,00;1,00;21,00;0,00;12,00;6,00;6,00;6,00;7,00;0,00;7,00;2,00;1,00;0,00;2,00;1,00;2,00;2,00;10,00;3,00;0,00;0,00;0,00;2,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-03-08;42,00;5,79;5,79;1,45;144,83;9,69;7,54;5,38;2,15;15,00;2,00;46,00;2,00;7,00;6,00;9,00;8,00;14,00;0,00;4,00;2,00;4,00;1,00;5,00;0,00;7,00;9,00;9,00;5,00;1,00;2,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-03-15;18,00;3,00;1,50;0,00;58,50;1,13;0,00;6,75;0,00;2,00;0,00;9,00;0,00;2,00;10,00;2,00;6,00;2,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;6,00;0,00;1,50;0,00;28,50;0,00;0,00;2,40;0,00;0,00;0,00;3,00;0,00;2,00;9,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;9,00;1,50;1,50;0,00;30,00;0,00;2,25;1,13;0,00;1,00;0,00;3,00;0,00;1,00;5,00;0,00;0,00;1,00;0,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;2,00;1,00;1,00;0,00;12,00;0,00;2,00;0,00;0,00;2,00;0,00;3,00;0,00;2,00;1,00;1,00;0,00;2,00;0,00;1,00;0,00;3,00;0,00;1,00;0,00;0,00;2,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;12,00;0,00;1,50;1,50;10,50;0,00;0,00;1,09;0,00;1,00;0,00;1,00;0,00;2,00;1,00;1,00;0,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;11,00;1,38;0,00;0,00;9,63;2,20;0,00;1,10;0,00;1,00;0,00;7,00;0,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;6,00;0,00;1,50;0,00;10,50;3,60;0,00;0,00;0,00;2,00;0,00;4,00;1,00;0,00;3,00;4,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;2,00;1,00;0,00;0,00;1,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-05-03;9,00;1,50;1,50;0,00;10,50;1,00;0,00;0,00;0,00;1,00;0,00;3,00;0,00;3,00;3,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;14,00;0,00;1,40;1,40;12,60;1,08;0,00;5,38;0,00;1,00;0,00;5,00;1,00;1,00;4,00;1,00;0,00;2,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;15,00;0,00;2,73;1,36;9,55;0,00;1,07;2,14;0,00;0,00;0,00;4,00;1,00;0,00;4,00;1,00;4,00;1,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-05-24;20,00;1,43;0,00;0,00;5,71;2,11;0,00;2,11;0,00;0,00;1,00;7,00;1,00;0,00;8,00;1,00;2,00;1,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;30,00;1,43;1,43;0,00;5,71;1,07;1,07;3,21;0,00;3,00;0,00;4,00;1,00;4,00;7,00;2,00;3,00;2,00;0,00;0,00;3,00;1,00;1,00;3,00;0,00;1,00;1,00;10,00;2,00;0,00;3,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-06-07;25,00;1,39;0,00;0,00;9,72;0,00;0,00;2,08;0,00;2,00;0,00;8,00;2,00;4,00;6,00;1,00;4,00;2,00;0,00;0,00;5,00;1,00;0,00;4,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;35,00;2,80;1,40;2,80;8,40;3,18;0,00;5,30;0,00;0,00;1,00;10,00;3,00;1,00;8,00;0,00;1,00;3,00;0,00;0,00;4,00;0,00;0,00;1,00;0,00;0,00;2,00;4,00;4,00;0,00;2,00;2,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-06-21;31,00;2,82;1,41;0,00;16,91;1,07;0,00;1,07;0,00;1,00;0,00;3,00;0,00;1,00;9,00;7,00;4,00;2,00;0,00;0,00;2,00;0,00;0,00;4,00;0,00;0,00;0,00;6,00;0,00;0,00;4,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;63,00;0,00;0,00;0,00;15,75;5,43;0,00;2,17;0,00;1,00;0,00;6,00;0,00;3,00;9,00;2,00;6,00;3,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00;1,00;0,00;6,00;4,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-05;61,00;0,00;4,26;0,00;12,77;1,07;4,28;4,28;0,00;5,00;0,00;3,00;0,00;5,00;12,00;9,00;9,00;5,00;0,00;2,00;1,00;0,00;0,00;2,00;0,00;1,00;1,00;5,00;2,00;0,00;0,00;1,00;2,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00
2020-07-12;60,00;0,00;1,43;1,43;15,71;5,36;0,00;4,29;0,00;3,00;1,00;16,00;1,00;8,00;9,00;7,00;3,00;1,00;0,00;1,00;1,00;0,00;0,00;6,00;0,00;0,00;0,00;1,00;7,00;1,00;3,00;2,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-19;75,00;0,00;1,44;1,44;18,75;4,35;1,09;8,70;1,09;7,00;0,00;10,00;0,00;4,00;7,00;10,00;4,00;7,00;0,00;4,00;5,00;0,00;2,00;4,00;0,00;1,00;2,00;3,00;5,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-26;58,00;0,00;4,24;1,41;12,73;1,07;2,15;2,15;0,00;4,00;1,00;12,00;2,00;4,00;10,00;8,00;6,00;11,00;0,00;0,00;2,00;0,00;1,00;4,00;1,00;1,00;1,00;3,00;4,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-02;57,00;0,00;4,28;2,85;15,68;2,15;0,00;1,08;0,00;8,00;2,00;7,00;2,00;8,00;7,00;9,00;10,00;7,00;0,00;1,00;2,00;0,00;0,00;6,00;1,00;1,00;0,00;6,00;5,00;1,00;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-08-09;49,00;1,40;2,80;2,80;12,60;7,46;3,20;4,26;1,07;0,00;0,00;8,00;1,00;1,00;6,00;2,00;10,00;12,00;1,00;2,00;3,00;0,00;0,00;2,00;1,00;0,00;0,00;3,00;9,00;0,00;4,00;0,00;1,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-08-16;61,00;1,42;2,84;2,84;11,35;0,00;0,00;2,14;1,07;3,00;0,00;9,00;0,00;1,00;3,00;8,00;5,00;8,00;0,00;1,00;1,00;1,00;1,00;3,00;0,00;1,00;0,00;11,00;5,00;0,00;1,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-08-23;50,00;0,00;1,43;0,00;15,71;1,06;2,13;5,32;0,00;3,00;0,00;9,00;1,00;11,00;4,00;1,00;1,00;5,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00;1,00;1,00;0,00;4,00;0,00;4,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-30;44,00;2,84;2,84;2,84;14,19;1,07;0,00;2,15;1,07;2,00;0,00;8,00;2,00;1,00;7,00;3,00;2,00;3,00;0,00;2,00;2,00;0,00;1,00;3,00;1,00;1,00;0,00;8,00;2,00;0,00;2,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-06;46,00;1,44;2,88;2,88;8,63;2,14;1,07;5,35;1,07;4,00;1,00;14,00;1,00;4,00;13,00;8,00;4,00;6,00;0,00;0,00;7,00;0,00;0,00;1,00;1,00;0,00;1,00;3,00;6,00;0,00;4,00;2,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-09-13;45,00;1,45;4,35;1,45;8,71;1,07;0,00;1,07;1,07;2,00;0,00;7,00;1,00;4,00;9,00;2,00;4,00;1,00;0,00;3,00;2,00;0,00;0,00;2,00;0,00;5,00;0,00;4,00;2,00;0,00;4,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-20;53,00;4,30;0,00;1,43;10,03;2,16;2,16;5,41;0,00;4,00;1,00;9,00;0,00;1,00;10,00;6,00;5,00;4,00;0,00;1,00;3,00;0,00;0,00;3,00;0,00;1,00;0,00;4,00;5,00;0,00;2,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-27;36,00;0,00;0,00;0,00;9,69;0,00;0,00;3,18;0,00;2,00;0,00;8,00;1,00;3,00;3,00;3,00;1,00;7,00;0,00;2,00;5,00;0,00;1,00;1,00;0,00;1,00;0,00;10,00;3,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-04;55,00;1,41;1,41;1,41;4,23;1,06;1,06;3,17;0,00;3,00;1,00;12,00;0,00;3,00;7,00;7,00;0,00;3,00;0,00;2,00;4,00;0,00;1,00;3,00;0,00;3,00;0,00;7,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-11;41,00;0,00;2,83;2,83;9,90;4,32;0,00;2,16;0,00;3,00;0,00;5,00;0,00;5,00;3,00;5,00;1,00;6,00;0,00;3,00;2,00;0,00;2,00;6,00;0,00;1,00;0,00;3,00;1,00;0,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-18;37,00;2,85;2,85;2,85;7,12;4,23;0,00;3,17;2,11;2,00;0,00;2,00;0,00;3,00;4,00;0,00;7,00;4,00;0,00;1,00;0,00;1,00;1,00;3,00;0,00;0,00;1,00;6,00;2,00;0,00;1,00;0,00;1,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-10-25;12,00;3,00;1,50;3,00;7,50;3,27;0,00;0,00;0,00;2,00;0,00;4,00;0,00;0,00;4,00;1,00;2,00;3,00;0,00;2,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-11-01;12,00;0,00;1,50;1,50;13,50;2,18;0,00;0,00;0,00;0,00;0,00;3,00;0,00;2,00;2,00;2,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;3,00;0,00;1,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-11-08;11,00;1,38;1,38;2,75;9,63;0,00;0,00;2,20;0,00;1,00;0,00;11,00;1,00;0,00;2,00;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-15;11,00;1,38;2,75;1,38;2,75;3,30;1,10;0,00;0,00;3,00;0,00;4,00;1,00;2,00;2,00;2,00;2,00;3,00;0,00;0,00;1,00;0,00;1,00;2,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-22;16,00;5,82;0,00;1,45;7,27;1,07;1,07;1,07;1,07;6,00;0,00;9,00;1,00;2,00;2,00;2,00;0,00;2,00;0,00;1,00;1,00;0,00;0,00;3,00;0,00;0,00;1,00;4,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-29;12,00;3,00;4,50;3,00;25,50;2,18;0,00;1,09;0,00;1,00;0,00;5,00;0,00;3,00;3,00;6,00;5,00;5,00;0,00;2,00;1,00;1,00;0,00;1,00;1,00;0,00;1,00;3,00;5,00;0,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-06;19,00;4,07;2,71;0,00;14,93;0,00;1,06;0,00;1,06;1,00;0,00;2,00;1,00;2,00;5,00;2,00;2,00;2,00;0,00;4,00;1,00;0,00;1,00;4,00;0,00;1,00;10,00;2,00;3,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-13;22,00;2,75;0,00;0,00;6,88;1,05;0,00;1,05;1,05;4,00;1,00;1,00;4,00;1,00;2,00;6,00;6,00;7,00;0,00;7,00;0,00;0,00;1,00;2,00;0,00;0,00;21,00;6,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-20;31,00;7,38;1,48;0,00;32,48;4,28;5,34;2,14;0,00;4,00;0,00;10,00;0,00;3,00;1,00;3,00;5,00;4,00;0,00;5,00;0,00;0,00;0,00;1,00;0,00;1,00;5,00;5,00;1,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-27;42,00;4,34;2,90;2,90;15,93;2,15;2,15;6,46;1,08;9,00;4,00;9,00;0,00;6,00;1,00;13,00;4,00;9,00;0,00;4,00;4,00;1,00;0,00;3,00;0,00;4,00;1,00;11,00;3,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-03;25,00;2,78;2,78;2,78;5,56;0,00;0,00;2,08;0,00;3,00;2,00;21,00;3,00;7,00;2,00;5,00;2,00;4,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;1,00;1,00;12,00;3,00;0,00;1,00;1,00;5,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2021-01-10;23,00;2,88;2,88;0,00;11,50;1,10;0,00;2,19;0,00;5,00;0,00;19,00;90,00;9,00;0,00;2,00;3,00;2,00;0,00;0,00;0,00;3,00;0,00;4,00;0,00;0,00;1,00;3,00;7,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-17;23,00;0,00;1,44;0,00;20,13;2,19;2,19;6,57;0,00;3,00;3,00;8,00;46,00;5,00;4,00;4,00;5,00;3,00;0,00;2,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;2,00;16,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-24;65,00;2,83;1,41;1,41;7,07;2,13;1,07;3,20;2,13;6,00;1,00;9,00;3,00;3,00;3,00;6,00;3,00;4,00;0,00;1,00;2,00;2,00;0,00;0,00;0,00;1,00;3,00;9,00;11,00;0,00;2,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
