Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2020-07-19;25,00;0,00;15,00;8,33;25,00;139,29;50,00;16,67;58,33;108,33;8,33;20,00;25,00;8,00;1,00;14,06;10,94;12,50;10,94;2,08;4,17;2,08;1,00;1,00;1,00;0,00;1,00;0,00;3,00;3,00;1,00;0,00;0,00;0,00;0,00
2020-07-26;25,00;0,00;14,00;4,17;33,33;121,43;46,43;8,33;50,00;116,67;8,33;21,00;22,00;10,00;5,00;31,25;17,19;20,31;7,81;2,08;8,33;0,00;3,00;1,00;1,00;0,00;0,00;1,00;8,00;0,00;3,00;3,00;0,00;0,00;0,00
2020-08-02;43,00;0,00;15,00;8,06;20,16;136,17;50,17;8,60;60,20;163,40;17,20;18,00;15,00;15,00;0,00;26,69;10,38;22,24;5,93;1,95;3,91;3,91;3,00;0,00;1,00;7,00;1,00;3,00;11,00;0,00;0,00;0,00;1,00;0,00;0,00
2020-08-09;30,00;0,00;20,00;4,09;24,55;172,50;56,25;10,00;100,00;190,00;10,00;18,00;22,00;6,00;3,00;18,00;15,00;7,50;15,00;2,14;17,14;4,29;7,00;3,00;5,00;0,00;10,00;1,00;7,00;0,00;1,00;1,00;0,00;0,00;0,00
2020-08-16;26,00;0,00;19,00;1,37;24,63;133,71;48,29;8,67;60,67;164,67;17,33;14,00;21,00;4,00;7,00;26,00;10,71;19,88;4,59;0,00;8,67;0,00;4,00;7,00;3,00;3,00;4,00;1,00;11,00;0,00;0,00;1,00;0,00;0,00;0,00
2020-08-23;28,00;0,00;17,00;2,67;36,00;122,50;35,00;9,33;56,00;130,67;9,33;19,00;54,00;4,00;4,00;16,21;5,89;19,16;10,32;0,00;12,00;0,00;3,00;4,00;1,00;0,00;1,00;1,00;3,00;1,00;0,00;3,00;0,00;0,00;0,00
2020-08-30;26,00;0,00;11,00;0,00;20,53;70,57;44,57;4,33;26,00;112,67;4,33;18,00;17,00;4,00;3,00;21,41;4,59;12,24;3,06;0,00;8,67;0,00;4,00;0,00;3,00;1,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-06;30,00;0,00;12,00;2,73;20,45;78,75;26,25;10,00;40,00;90,00;60,00;26,00;9,00;7,00;1,00;18,00;4,50;3,00;6,00;0,00;8,57;2,14;7,00;3,00;1,00;3,00;7,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-13;20,00;0,00;9,00;2,67;16,00;113,33;20,00;10,00;30,00;100,00;10,00;31,00;11,00;8,00;3,00;12,31;6,15;4,62;6,15;0,00;8,00;0,00;5,00;0,00;0,00;1,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-20;18,00;0,00;6,00;4,15;18,00;75,60;18,00;4,50;63,00;63,00;9,00;16,00;5,00;5,00;1,00;9,00;3,00;6,00;3,00;0,00;9,00;0,00;0,00;0,00;0,00;1,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00
2020-09-27;11,00;0,00;14,00;4,13;9,63;66,00;18,33;5,50;22,00;77,00;5,50;8,00;5,00;0,00;4,00;11,00;0,00;4,13;5,50;0,00;7,33;0,00;3,00;1,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2020-10-04;19,00;0,00;14,00;4,07;12,21;57,00;22,80;9,50;19,00;76,00;4,75;14,00;10,00;1,00;4,00;10,23;4,38;4,38;4,38;0,00;7,60;0,00;3,00;1,00;0,00;3,00;1,00;5,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-11;11,00;0,00;10,00;9,63;12,38;69,67;14,67;11,00;22,00;77,00;5,50;4,00;13,00;0,00;3,00;4,71;0,00;3,14;0,00;0,00;7,33;0,00;6,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-18;14,00;0,00;14,00;2,55;11,45;45,50;10,50;7,00;14,00;35,00;0,00;5,00;7,00;0,00;5,00;4,20;4,20;1,40;5,60;0,00;3,50;0,00;0,00;1,00;1,00;1,00;1,00;5,00;3,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-10-25;44,00;0,00;12,00;1,33;9,33;29,33;18,33;8,80;17,60;26,40;4,40;5,00;3,00;0,00;1,00;6,07;1,52;6,07;6,07;0,00;4,00;0,00;4,00;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-01;9,00;0,00;14,00;1,50;10,50;54,00;13,50;9,00;9,00;27,00;0,00;6,00;6,00;1,00;1,00;9,00;0,00;4,50;3,00;0,00;4,50;0,00;1,00;0,00;0,00;0,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-08;12,00;0,00;13,00;1,33;12,00;56,00;4,00;6,00;12,00;24,00;6,00;1,00;4,00;1,00;3,00;10,50;4,50;4,50;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-15;13,00;0,00;11,00;0,00;7,80;35,75;9,75;6,50;39,00;26,00;6,50;8,00;5,00;1,00;1,00;7,22;1,44;5,78;1,44;0,00;2,17;0,00;3,00;1,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-22;10,00;0,00;23,00;2,86;11,43;46,67;3,33;5,00;20,00;20,00;5,00;8,00;1,00;1,00;1,00;4,29;1,43;5,71;4,29;0,00;2,50;2,50;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-29;4,00;0,00;16,00;1,33;8,00;64,00;8,00;4,00;16,00;24,00;4,00;6,00;4,00;1,00;0,00;4,00;2,67;2,67;2,67;0,00;4,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-06;13,00;0,00;5,00;3,90;9,10;39,00;6,50;6,50;13,00;39,00;6,50;1,00;4,00;1,00;1,00;13,00;4,33;7,22;5,78;0,00;8,67;0,00;5,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-13;8,00;0,00;19,00;1,33;13,33;48,00;16,00;0,00;8,00;16,00;4,00;1,00;5,00;1,00;0,00;8,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2020-12-20;16,00;0,00;12,00;4,00;12,00;72,00;12,00;4,00;8,00;16,00;4,00;3,00;6,00;0,00;1,00;7,27;2,91;2,91;2,91;0,00;8,00;2,00;3,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00
2020-12-27;11,00;0,00;10,00;2,75;26,13;73,33;3,67;0,00;22,00;33,00;5,50;3,00;4,00;0,00;1,00;8,25;0,00;5,50;4,13;0,00;1,83;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-03;7,00;0,00;8,00;7,00;54,60;56,00;10,50;3,50;14,00;14,00;3,50;3,00;5,00;4,00;1,00;5,25;5,25;5,25;7,00;0,00;1,75;1,75;3,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-10;9,00;0,00;7,00;0,00;33,43;36,00;6,00;4,50;18,00;27,00;9,00;4,00;4,00;3,00;3,00;9,00;1,50;1,50;6,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-17;6,00;0,00;22,00;6,00;37,20;36,00;9,00;6,00;24,00;12,00;0,00;8,00;6,00;5,00;0,00;22,50;3,00;3,00;3,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-24;9,00;0,00;14,00;11,57;39,86;42,00;15,00;4,50;18,00;18,00;0,00;6,00;9,00;1,00;1,00;10,50;1,50;0,00;4,50;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-31;13,00;0,00;14,00;0,00;28,60;55,25;3,25;13,00;26,00;13,00;0,00;9,00;4,00;1,00;5,00;11,56;4,33;10,11;2,89;0,00;2,17;0,00;4,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-07;8,00;0,00;13,00;1,33;28,00;76,00;8,00;4,00;16,00;24,00;4,00;9,00;7,00;1,00;5,00;25,60;6,40;6,40;4,80;0,00;2,00;0,00;1,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-14;11,00;0,00;19,00;1,38;15,13;40,33;7,33;11,00;22,00;22,00;5,50;43,00;3,00;0,00;1,00;18,86;3,14;6,29;4,71;0,00;1,83;0,00;1,00;1,00;1,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-21;8,00;0,00;11,00;4,00;20,00;84,00;4,00;0,00;40,00;16,00;8,00;11,00;4,00;3,00;1,00;6,40;0,00;6,40;3,20;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2021-02-28;13,00;0,00;5,00;2,60;26,00;68,25;3,25;13,00;52,00;39,00;6,50;12,00;5,00;4,00;0,00;10,11;1,44;2,89;5,78;0,00;2,17;0,00;0,00;0,00;0,00;0,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-07;18,00;0,00;18,00;2,77;23,54;64,80;7,20;4,50;27,00;18,00;4,50;3,00;4,00;0,00;1,00;7,50;6,00;6,00;1,50;0,00;0,00;4,50;3,00;1,00;0,00;0,00;1,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-14;19,00;0,00;17,00;8,14;23,07;83,60;7,60;4,75;28,50;28,50;9,50;10,00;6,00;1,00;0,00;11,69;1,46;4,38;4,38;0,00;0,00;0,00;4,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-21;23,00;0,00;13,00;0,00;14,88;92,00;7,67;11,50;23,00;34,50;0,00;7,00;10,00;0,00;3,00;4,60;0,00;6,13;4,60;0,00;1,92;0,00;1,00;1,00;0,00;0,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-28;10,00;0,00;24,00;0,00;30,00;66,67;16,67;10,00;40,00;40,00;0,00;6,00;6,00;3,00;3,00;11,43;1,43;2,86;5,71;0,00;0,00;0,00;3,00;3,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2021-04-04;9,00;0,00;11,00;1,29;41,14;63,00;9,00;9,00;27,00;18,00;4,50;4,00;8,00;1,00;0,00;6,00;1,50;6,00;4,50;0,00;4,50;2,25;5,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-11;13,00;0,00;12,00;3,90;44,20;71,50;9,75;13,00;52,00;39,00;6,50;8,00;12,00;1,00;1,00;5,78;2,89;8,67;5,78;0,00;4,33;2,17;3,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-18;12,00;0,00;7,00;1,33;22,67;96,00;12,00;12,00;36,00;24,00;6,00;5,00;4,00;4,00;1,00;9,00;3,00;12,00;4,50;0,00;2,00;0,00;4,00;0,00;4,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-25;16,00;0,00;12,00;5,82;21,82;84,00;20,00;8,00;24,00;24,00;4,00;13,00;10,00;4,00;7,00;8,00;3,20;4,80;1,60;0,00;4,00;0,00;1,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-02;19,00;1,00;11,00;1,36;31,21;95,00;11,40;4,75;47,50;38,00;4,75;11,00;7,00;4,00;1,00;13,15;4,38;10,23;5,85;0,00;1,90;3,80;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-09;16,00;0,00;9,00;2,67;38,67;89,60;22,40;8,00;48,00;32,00;4,00;8,00;7,00;8,00;4,00;17,45;2,91;11,64;4,36;0,00;2,00;0,00;8,00;0,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
2021-05-16;22,00;0,00;14,00;4,13;35,75;128,33;36,67;11,00;44,00;33,00;5,50;1,00;7,00;7,00;1,00;22,00;6,29;23,57;9,43;0,00;4,40;2,20;3,00;3,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2021-05-23;34,00;0,00;8,00;1,36;48,96;132,22;30,22;17,00;59,50;42,50;8,50;6,00;13,00;7,00;4,00;30,91;1,55;21,64;3,09;0,00;4,25;0,00;1,00;1,00;1,00;1,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-30;33,00;1,00;12,00;4,13;48,13;172,33;40,33;22,00;121,00;66,00;5,50;8,00;15,00;6,00;3,00;30,00;4,50;22,50;4,50;2,06;4,13;2,06;6,00;4,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2021-06-06;45,00;0,00;18,00;2,73;50,45;169,62;58,85;9,00;108,00;72,00;4,50;4,00;10,00;4,00;6,00;10,50;7,50;18,00;13,50;0,00;0,00;4,09;6,00;3,00;3,00;0,00;3,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
2021-06-13;37,00;1,00;30,00;5,48;83,59;215,27;37,00;9,25;101,75;92,50;9,25;10,00;11,00;11,00;3,00;13,32;7,40;25,16;10,36;2,06;2,06;0,00;6,00;0,00;0,00;0,00;1,00;1,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-20;36,00;0,00;35,00;1,33;86,67;205,20;39,60;9,00;117,00;117,00;9,00;20,00;12,00;10,00;1,00;24,00;13,50;25,50;7,50;0,00;2,00;0,00;6,00;1,00;3,00;1,00;1,00;4,00;10,00;0,00;1,00;0,00;0,00;0,00;0,00
2021-06-27;42,00;1,00;19,00;2,71;102,97;199,50;45,50;21,00;178,50;136,50;10,50;17,00;11,00;10,00;4,00;40,50;9,00;30,00;10,50;0,00;4,20;2,10;7,00;0,00;1,00;1,00;3,00;1,00;6,00;0,00;1,00;0,00;0,00;0,00;0,00
2021-07-04;57,00;0,00;35,00;2,71;95,00;203,06;35,63;9,50;152,00;142,50;9,50;7,00;12,00;10,00;1,00;34,50;18,00;22,50;7,50;0,00;4,07;2,04;4,00;3,00;4,00;0,00;3,00;0,00;3,00;0,00;1,00;0,00;0,00;1,00;1,00
2021-07-11;44,00;0,00;19,00;18,67;81,33;282,33;44,00;8,80;158,40;132,00;8,80;13,00;12,00;18,00;13,00;37,93;27,31;33,38;9,10;2,00;8,00;4,00;7,00;4,00;6,00;0,00;0,00;1,00;7,00;0,00;1,00;1,00;0,00;0,00;0,00
2021-07-18;38,00;0,00;21,00;10,86;118,07;286,73;31,09;19,00;180,50;152,00;19,00;14,00;20,00;19,00;3,00;31,92;12,16;41,04;16,72;0,00;8,44;2,11;9,00;2,00;2,00;2,00;2,00;3,00;15,00;0,00;2,00;0,00;0,00;0,00;0,00
2021-07-25;47,00;0,00;21,00;4,03;96,69;271,15;32,54;28,20;188,00;141,00;9,40;12,00;10,00;10,00;7,00;47,00;15,16;34,87;6,06;1,96;15,67;1,96;10,00;1,00;3,00;1,00;3,00;4,00;10,00;1,00;0,00;3,00;0,00;0,00;0,00
2021-08-01;46,00;0,00;13,00;1,35;135,29;272,46;42,46;36,80;147,20;128,80;9,20;15,00;25,00;18,00;4,00;35,27;4,60;47,53;15,33;0,00;12,55;4,18;10,00;1,00;0,00;4,00;7,00;1,00;4,00;1,00;3,00;0,00;0,00;1,00;0,00
2021-08-08;60,00;0,00;32,00;9,55;115,91;289,41;56,47;10,00;150,00;190,00;30,00;28,00;32,00;20,00;11,00;51,00;13,50;39,00;19,50;4,00;8,00;8,00;6,00;2,00;5,00;5,00;5,00;0,00;9,00;0,00;0,00;2,00;2,00;2,00;0,00
2021-08-15;56,00;0,00;28,00;4,10;114,73;241,50;49,00;37,33;149,33;177,33;9,33;18,00;30,00;14,00;7,00;43,89;18,16;52,97;13,62;2,00;8,00;0,00;3,00;1,00;0,00;1,00;4,00;3,00;6,00;3,00;0,00;3,00;0,00;0,00;0,00
2021-08-22;49,00;0,00;24,00;6,81;77,58;231,00;42,00;19,60;127,40;186,20;9,80;6,00;18,00;8,00;8,00;29,70;10,39;29,70;10,39;0,00;8,17;4,08;14,00;2,00;2,00;2,00;3,00;2,00;8,00;2,00;0,00;2,00;0,00;0,00;0,00
2021-08-29;44,00;0,00;14,00;5,50;70,13;187,00;33,00;17,60;123,20;114,40;8,80;14,00;11,00;14,00;6,00;25,79;21,24;13,66;4,55;0,00;16,00;2,00;5,00;2,00;0,00;0,00;0,00;3,00;5,00;0,00;0,00;0,00;2,00;0,00;0,00
2021-09-05;46,00;0,00;16,00;9,47;79,82;162,77;42,46;9,20;101,20;119,60;9,20;10,00;13,00;11,00;6,00;24,53;12,27;23,00;9,20;2,09;16,73;0,00;8,00;2,00;2,00;0,00;5,00;3,00;6,00;2,00;0,00;2,00;2,00;0,00;0,00
2021-09-12;39,00;0,00;19,00;6,72;79,34;141,82;31,91;19,50;68,25;117,00;9,75;11,00;22,00;6,00;0,00;43,50;9,00;12,00;9,00;0,00;11,70;0,00;5,00;2,00;2,00;2,00;2,00;0,00;5,00;3,00;0,00;2,00;0,00;0,00;0,00
2021-09-19;38,00;0,00;29,00;2,71;57,00;120,91;31,09;9,50;57,00;104,50;9,50;9,00;12,00;5,00;6,00;24,32;9,12;19,76;13,68;0,00;16,89;2,11;6,00;2,00;0,00;2,00;2,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-09-26;23,00;0,00;19,00;6,76;52,76;161,00;29,57;11,50;46,00;195,50;0,00;5,00;8,00;8,00;5,00;18,40;1,53;33,73;10,73;1,92;11,50;3,83;2,00;0,00;2,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-10-03;34,00;0,00;31,00;1,36;43,52;81,60;34,00;8,50;51,00;93,50;8,50;11,00;9,00;8,00;2,00;16,26;1,48;23,65;4,43;0,00;12,75;0,00;6,00;0,00;0,00;2,00;2,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-10-10;28,00;0,00;28,00;9,33;46,67;112,00;31,50;9,33;28,00;130,67;9,33;10,00;7,00;3,00;3,00;7,37;5,89;13,26;7,37;0,00;20,00;0,00;0,00;0,00;0,00;2,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-10-17;28,00;0,00;46,00;2,80;26,60;77,00;28,00;4,67;37,33;112,00;9,33;3,00;9,00;5,00;3,00;10,89;6,22;17,11;3,11;0,00;32,00;4,00;3,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-10-24;31,00;2,00;34,00;6,74;28,30;48,22;34,44;10,33;20,67;93,00;0,00;8,00;11,00;5,00;9,00;13,95;4,65;10,85;4,65;0,00;42,63;0,00;3,00;0,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00
2021-10-31;34,00;0,00;47,00;8,16;24,48;68,00;34,00;0,00;25,50;85,00;4,25;6,00;5,00;3,00;0,00;19,22;0,00;7,39;4,43;2,13;55,25;0,00;2,00;2,00;2,00;0,00;3,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-11-07;26,00;0,00;49,00;16,42;15,05;74,29;26,00;0,00;26,00;69,33;8,67;6,00;5,00;3,00;5,00;16,82;6,12;6,12;1,53;0,00;73,67;0,00;2,00;2,00;2,00;5,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2021-11-14;28,00;0,00;30,00;1,33;9,33;38,50;31,50;9,33;28,00;84,00;0,00;6,00;3,00;3,00;2,00;4,42;5,89;8,84;4,42;2,00;112,00;0,00;2,00;2,00;2,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-11-21;28,00;0,00;45,00;1,33;18,67;49,00;17,50;4,67;18,67;65,33;0,00;4,00;7,00;9,00;1,00;8,84;10,32;7,37;2,95;0,00;128,00;4,00;1,00;0,00;1,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-11-28;38,00;0,00;33,00;4,07;13,57;44,91;17,27;4,75;19,00;180,50;4,75;3,00;5,00;8,00;3,00;9,12;0,00;7,60;6,08;0,00;228,00;0,00;0,00;0,00;0,00;2,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-12-05;22,00;0,00;10,00;4,13;12,38;25,67;22,00;5,50;22,00;66,00;5,50;10,00;10,00;2,00;7,00;16,13;10,27;13,20;1,47;0,00;440,00;2,20;2,00;2,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00
2021-12-12;26,00;0,00;7,00;1,37;6,84;55,71;7,43;0,00;43,33;52,00;4,33;5,00;4,00;0,00;5,00;7,65;1,53;4,59;6,12;0,00;169,00;0,00;2,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-12-19;24,00;0,00;6,00;5,65;21,18;54,86;20,57;6,00;24,00;60,00;6,00;8,00;4,00;2,00;2,00;12,00;6,00;4,50;6,00;0,00;96,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-12-26;35,00;0,00;8,00;2,69;18,85;77,00;14,00;4,38;26,25;87,50;0,00;0,00;10,00;2,00;2,00;6,09;4,57;16,74;6,09;0,00;124,44;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2022-01-02;27,00;0,00;17,00;4,05;21,60;74,25;16,88;9,00;45,00;81,00;0,00;4,00;14,00;4,00;2,00;19,50;9,00;15,00;1,50;0,00;77,14;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
2022-01-09;27,00;0,00;13,00;1,35;36,45;74,25;23,63;4,50;36,00;45,00;4,50;4,00;9,00;2,00;4,00;12,00;3,00;15,00;10,50;0,00;7,71;0,00;7,00;0,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-01-16;18,00;0,00;15,00;6,43;42,43;111,60;28,80;9,00;54,00;90,00;4,50;13,00;6,00;2,00;4,00;18,00;1,50;18,00;3,00;0,00;3,60;1,80;9,00;2,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;2,00;0,00;0,00
2022-01-23;39,00;0,00;17,00;16,71;50,14;124,09;24,82;9,75;48,75;68,25;4,88;7,00;6,00;0,00;4,00;15,00;16,50;16,50;3,00;0,00;4,33;0,00;6,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00
2022-01-30;44,00;0,00;27,00;11,00;33,00;102,67;25,67;4,40;44,00;70,40;8,80;4,00;2,00;10,00;4,00;30,34;6,07;28,83;4,55;0,00;4,00;0,00;2,00;4,00;0,00;0,00;0,00;2,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00
2022-02-06;50,00;0,00;23,00;8,11;40,54;114,29;32,14;10,00;50,00;80,00;5,00;15,00;11,00;0,00;2,00;27,27;4,55;21,21;7,58;0,00;0,00;4,17;8,00;2,00;0,00;2,00;2,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-02-13;44,00;0,00;31,00;1,33;38,67;121,00;33,00;8,80;44,00;70,40;4,40;11,00;6,00;9,00;2,00;34,90;10,62;31,86;7,59;0,00;4,00;2,00;2,00;0,00;0,00;0,00;0,00;2,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-02-20;57,00;0,00;28,00;8,14;71,93;110,44;39,19;9,50;47,50;76,00;4,75;11,00;11,00;4,00;2,00;22,50;6,00;21,00;12,00;0,00;4,07;4,07;2,00;6,00;0,00;0,00;2,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00
2022-02-27;52,00;0,00;17,00;6,84;131,37;128,27;52,00;5,20;83,20;114,40;0,00;11,00;4,00;7,00;0,00;18,35;6,12;9,18;0,00;0,00;8,00;0,00;6,00;0,00;0,00;0,00;0,00;2,00;4,00;2,00;2,00;0,00;0,00;0,00;0,00
