Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2020-07-12;55,00;210,00;145,00;260,00;119,17;9,17;82,50;36,67;70,71;70,71;65,48;107,38;77,92;110,00;32,08;9,17;73,33;238,33;18,33;30,56;16,00;25,00;20,00;21,00;22,21;23,27;7,40;20,10;11,00;7,00;24,00;3,00;12,00;5,00;3,00
2020-07-19;61,00;228,75;162,67;269,42;132,17;10,17;81,33;50,83;94,04;73,71;68,63;111,83;84,46;117,31;28,15;9,38;73,20;244,00;12,20;30,50;18,00;20,00;21,00;32,00;28,40;23,14;7,36;16,83;14,00;8,00;15,00;2,00;13,00;2,00;2,00
2020-07-26;56,00;213,82;147,64;122,18;112,00;9,33;74,67;28,00;81,45;56,00;58,55;119,64;65,33;116,67;32,67;9,33;87,11;248,89;12,44;24,89;23,00;23,00;21,00;27,00;28,00;25,85;7,54;15,08;13,00;6,00;11,00;5,00;16,00;3,00;3,00
2020-08-02;48,00;192,00;154,67;117,33;124,80;9,60;76,80;38,40;75,79;65,68;65,68;126,32;56,73;100,36;26,18;8,73;90,00;204,00;12,00;24,00;16,00;25,00;18,00;27,00;13,87;25,60;7,47;21,33;11,00;8,00;8,00;5,00;12,00;3,00;3,00
2020-08-09;50,00;170,00;145,00;140,00;140,00;10,00;80,00;40,00;81,58;73,68;65,79;128,95;63,64;118,18;36,36;9,09;81,25;237,50;18,75;25,00;13,00;30,00;28,00;30,00;18,09;27,66;9,57;22,34;9,00;7,00;9,00;4,00;14,00;3,00;2,00
2020-08-16;29,00;140,17;106,33;106,33;135,33;4,83;58,00;77,33;100,18;65,91;65,91;126,55;77,33;140,17;38,67;4,83;69,60;220,40;17,40;23,20;12,00;30,00;21,00;32,00;11,39;25,89;5,18;17,61;7,00;7,00;4,00;3,00;14,00;1,00;1,00
2020-08-23;32,00;149,33;128,00;106,67;149,33;10,67;74,67;96,00;85,33;74,67;66,67;138,67;64,00;132,57;32,00;9,14;89,60;243,20;12,80;25,60;12,00;28,00;26,00;29,00;12,80;19,20;6,40;21,33;8,00;5,00;5,00;4,00;11,00;1,00;2,00
2020-08-30;27,00;162,00;129,60;129,60;135,00;9,00;72,00;54,00;73,64;68,73;71,18;137,45;63,00;126,00;27,00;9,00;59,40;189,00;5,40;27,00;9,00;35,00;23,00;33,00;9,35;19,73;5,19;21,81;8,00;6,00;5,00;3,00;10,00;2,00;1,00
2020-09-06;23,00;143,75;115,00;109,25;149,50;5,75;80,50;46,00;63,89;66,44;61,33;125,22;50,60;110,40;23,00;4,60;69,00;184,00;5,75;23,00;12,00;23,00;27,00;31,00;10,45;17,77;4,18;19,86;5,00;6,00;5,00;2,00;7,00;1,00;1,00
2020-09-13;19,00;123,50;95,00;80,75;133,00;4,75;85,50;28,50;65,14;76,00;70,57;138,43;47,50;99,75;23,75;4,75;69,67;215,33;12,67;31,67;12,00;23,00;33,00;31,00;9,50;14,78;5,28;17,94;7,00;4,00;6,00;1,00;8,00;1,00;2,00
2020-09-20;19,00;118,75;80,75;90,25;123,50;4,75;85,50;28,50;51,57;62,43;62,43;149,29;47,50;114,00;23,75;9,50;76,00;183,67;6,33;31,67;8,00;27,00;29,00;23,00;8,44;16,89;5,28;17,94;4,00;5,00;5,00;1,00;8,00;3,00;1,00
2020-09-27;19,00;109,25;90,25;80,75;114,00;4,75;85,50;28,50;67,86;70,57;67,86;152,00;38,00;114,00;19,00;9,50;76,00;164,67;6,33;31,67;10,00;27,00;29,00;25,00;10,56;17,94;3,17;20,06;6,00;3,00;4,00;1,00;8,00;1,00;1,00
2020-10-04;20,00;140,00;85,00;100,00;110,00;10,00;90,00;30,00;47,50;67,50;52,50;100,00;50,00;135,00;20,00;10,00;93,33;180,00;13,33;26,67;10,00;28,00;30,00;21,00;10,53;22,11;4,21;17,89;5,00;5,00;5,00;1,00;7,00;1,00;2,00
2020-10-11;20,00;135,00;75,00;100,00;120,00;5,00;70,00;40,00;47,50;70,00;55,00;95,00;50,00;105,00;20,00;10,00;86,67;173,33;6,67;40,00;9,00;27,00;30,00;27,00;11,58;14,74;5,26;13,68;7,00;5,00;5,00;2,00;4,00;1,00;2,00
2020-10-18;19,00;123,50;76,00;80,75;85,50;9,50;85,50;28,50;48,86;57,00;48,86;95,00;42,75;80,75;28,50;9,50;88,67;145,67;6,33;31,67;9,00;26,00;33,00;21,00;9,50;15,83;4,22;20,06;9,00;4,00;4,00;1,00;6,00;1,00;2,00
2020-10-25;24,00;110,40;62,40;81,60;84,00;6,00;96,00;36,00;40,00;50,67;40,00;88,00;38,40;72,00;24,00;4,80;66,00;120,00;12,00;18,00;6,00;14,00;25,00;13,00;4,36;13,09;4,36;14,18;7,00;4,00;3,00;2,00;7,00;0,50;1,00
2020-11-01;17,00;102,00;51,00;79,33;59,50;4,25;51,00;17,00;34,00;36,43;38,86;82,57;29,75;42,50;38,25;8,50;39,67;119,00;5,67;22,67;9,00;13,00;23,00;19,00;5,31;11,69;4,25;15,94;3,00;4,00;3,00;1,00;5,00;0,50;1,00
2020-11-08;18,00;126,00;84,00;90,00;72,00;4,50;63,00;27,00;41,14;46,29;41,14;108,00;40,50;58,50;22,50;4,50;42,00;138,00;6,00;24,00;5,00;18,00;26,00;23,00;6,35;16,94;5,29;18,00;5,00;5,00;4,00;1,00;7,00;0,50;2,00
2020-11-15;15,00;110,00;60,00;75,00;105,00;7,50;105,00;45,00;40,00;35,00;37,50;90,00;45,00;65,00;20,00;5,00;30,00;115,00;5,00;20,00;7,00;19,00;21,00;21,00;8,57;13,93;4,29;15,00;5,00;4,00;2,00;2,00;7,00;2,00;2,00
2020-11-22;14,00;107,33;70,00;65,33;112,00;7,00;70,00;42,00;50,40;42,00;36,40;84,00;37,33;60,67;23,33;4,67;49,00;154,00;7,00;28,00;9,00;14,00;21,00;20,00;7,54;16,15;4,31;14,00;6,00;4,00;4,00;2,00;9,00;1,00;1,00
2020-11-29;16,00;117,33;80,00;80,00;56,00;4,00;48,00;24,00;48,00;37,33;40,00;88,00;42,67;80,00;21,33;5,33;32,00;138,67;5,33;21,33;8,00;16,00;20,00;17,00;5,33;17,07;3,20;12,80;7,00;5,00;3,00;1,00;7,00;2,00;2,00
2020-12-06;16,00;133,33;80,00;101,33;72,00;4,00;56,00;24,00;48,00;37,33;34,67;88,00;53,33;74,67;26,67;10,67;32,00;133,33;5,33;16,00;7,00;21,00;18,00;18,00;6,40;18,13;3,20;17,07;7,00;5,00;3,00;1,00;6,00;1,00;0,50
2020-12-13;14,00;93,33;70,00;65,33;98,00;7,00;84,00;42,00;47,60;42,00;39,20;84,00;37,33;51,33;28,00;4,67;42,00;231,00;7,00;28,00;8,00;15,00;20,00;19,00;7,54;20,46;3,23;16,15;5,00;3,00;3,00;3,00;6,00;1,00;1,00
2020-12-20;11,00;143,00;71,50;88,00;77,00;5,50;77,00;33,00;46,75;41,25;46,75;82,50;49,50;60,50;27,50;5,50;33,00;154,00;11,00;22,00;9,00;20,00;20,00;19,00;6,60;23,10;5,50;16,50;4,00;4,00;4,00;2,00;3,00;1,00;2,00
2020-12-27;17,00;141,67;79,33;90,67;68,00;4,25;42,50;25,50;46,14;34,00;29,14;75,29;34,00;59,50;21,25;4,25;39,67;136,00;5,67;17,00;6,00;15,00;16,00;18,00;7,44;19,13;4,25;15,94;7,00;5,00;3,00;2,00;15,00;1,00;1,00
2021-01-03;16,00;128,00;64,00;85,33;64,00;4,00;104,00;24,00;50,67;40,00;42,67;61,33;32,00;44,00;20,00;8,00;32,00;117,33;5,33;21,33;8,00;13,00;17,00;20,00;6,40;13,87;4,27;14,93;8,00;3,00;3,00;2,00;8,00;1,00;1,00
2021-01-10;16,00;112,00;58,67;69,33;56,00;4,00;104,00;24,00;40,00;34,67;34,67;66,67;32,00;74,67;21,33;5,33;37,33;96,00;5,33;16,00;7,00;19,00;15,00;18,00;7,47;14,93;5,33;11,73;4,00;4,00;3,00;1,00;6,00;1,00;1,00
2021-01-17;14,00;88,67;46,67;65,33;112,00;7,00;210,00;28,00;35,00;30,33;32,67;56,00;32,67;56,00;18,67;4,67;49,00;126,00;7,00;28,00;5,00;17,00;17,00;18,00;5,38;14,00;3,23;16,15;7,00;2,00;2,00;2,00;5,00;1,00;1,00
2021-01-24;12,00;108,00;54,00;78,00;84,00;6,00;72,00;24,00;36,00;28,80;28,80;52,80;32,00;44,00;16,00;4,00;36,00;108,00;6,00;18,00;8,00;12,00;15,00;14,00;5,45;10,91;2,18;13,09;5,00;2,00;3,00;1,00;4,00;1,00;2,00
2021-01-31;12,00;102,00;48,00;72,00;72,00;6,00;72,00;24,00;28,80;26,40;26,40;48,00;20,00;40,00;16,00;4,00;42,00;108,00;6,00;18,00;6,00;15,00;14,00;13,00;6,55;9,82;4,36;12,00;3,00;2,00;2,00;2,00;6,00;0,50;1,00
2021-02-07;10,00;85,00;45,00;75,00;60,00;5,00;60,00;20,00;32,50;27,50;27,50;60,00;35,00;55,00;15,00;5,00;25,00;95,00;5,00;15,00;6,00;14,00;17,00;12,00;6,00;11,00;3,00;9,00;5,00;4,00;2,00;2,00;5,00;0,50;1,00
2021-02-14;11,00;104,50;44,00;88,00;77,00;5,50;66,00;11,00;33,00;30,25;33,00;60,50;55,00;60,50;22,00;5,50;44,00;99,00;5,50;11,00;7,00;15,00;18,00;12,00;6,60;13,20;6,60;11,00;6,00;2,00;4,00;1,00;6,00;1,00;1,00
2021-02-21;19,00;99,75;71,25;90,25;66,50;4,75;57,00;19,00;48,86;29,86;38,00;73,29;42,75;71,25;19,00;4,75;44,33;145,67;6,33;19,00;8,00;9,00;15,00;13,00;7,82;12,29;4,47;13,41;3,00;3,00;2,00;2,00;5,00;0,50;1,00
2021-02-28;16,00;85,33;64,00;90,67;48,00;4,00;48,00;16,00;42,67;24,00;32,00;64,00;32,00;48,00;12,00;4,00;32,00;112,00;5,33;10,67;6,00;9,00;13,00;13,00;4,27;6,40;2,13;9,60;3,00;3,00;2,00;2,00;7,00;1,00;1,00
2021-03-07;16,00;112,00;64,00;90,67;56,00;4,00;48,00;24,00;53,33;37,33;32,00;64,00;36,00;64,00;16,00;8,00;42,67;106,67;5,33;16,00;7,00;14,00;14,00;13,00;10,67;11,73;3,20;7,47;2,00;3,00;3,00;2,00;7,00;1,00;1,00
2021-03-14;19,00;95,00;52,25;80,75;57,00;4,75;57,00;28,50;48,86;29,86;29,86;73,29;38,00;61,75;14,25;4,75;44,33;133,00;6,33;19,00;8,00;16,00;13,00;17,00;8,44;13,72;3,17;10,56;6,00;4,00;3,00;1,00;6,00;0,00;1,00
2021-03-21;10,00;80,00;35,00;60,00;50,00;5,00;60,00;20,00;35,00;25,00;27,50;77,50;30,00;60,00;15,00;5,00;30,00;95,00;5,00;10,00;10,00;12,00;15,00;11,00;7,78;13,33;4,44;8,89;4,00;4,00;2,00;1,00;4,00;0,50;1,00
2021-03-28;10,00;70,00;40,00;60,00;50,00;5,00;40,00;20,00;27,50;17,50;15,00;70,00;25,00;50,00;10,00;5,00;25,00;95,00;5,00;10,00;6,00;8,00;6,00;8,00;6,67;8,89;1,11;5,56;2,00;2,00;1,00;1,00;3,00;0,50;1,00
2021-04-04;8,00;44,00;28,00;44,00;32,00;4,00;48,00;8,00;32,00;16,00;16,00;58,67;20,00;36,00;12,00;4,00;40,00;152,00;4,00;16,00;5,00;7,00;7,00;9,00;5,00;6,00;1,00;3,00;2,00;2,00;1,00;0,50;4,00;0,50;1,00
2021-04-11;13,00;56,33;30,33;43,33;52,00;6,50;65,00;26,00;36,40;18,20;23,40;57,20;26,00;47,67;8,67;4,33;32,50;117,00;3,25;13,00;2,00;7,00;7,00;5,00;5,42;7,58;2,17;5,42;4,00;2,00;1,00;2,00;8,00;1,00;0,50
2021-04-18;11,00;77,00;38,50;55,00;44,00;5,50;55,00;22,00;24,75;19,25;19,25;63,25;27,50;49,50;11,00;2,75;27,50;121,00;5,50;11,00;5,00;8,00;6,00;6,00;6,60;7,70;2,20;5,50;4,00;4,00;2,00;1,00;6,00;1,00;0,50
2021-04-25;11,00;77,00;44,00;66,00;55,00;5,50;77,00;22,00;27,50;22,00;22,00;66,00;27,50;55,00;11,00;2,75;27,50;110,00;5,50;11,00;2,00;8,00;6,00;6,00;6,60;7,70;2,20;4,40;4,00;4,00;2,00;1,00;6,00;1,00;1,00
2021-05-02;17,00;73,67;51,00;79,33;51,00;4,25;153,00;51,00;25,50;22,67;25,50;82,17;25,50;42,50;8,50;2,13;34,00;119,00;5,67;11,33;5,00;6,00;5,00;5,00;8,50;8,50;4,25;6,38;4,00;3,00;1,00;1,00;6,00;1,00;1,00
2021-05-09;13,00;91,00;58,50;97,50;78,00;6,50;78,00;91,00;28,60;20,80;26,00;46,80;21,67;39,00;8,67;4,33;45,50;156,00;6,50;6,50;5,00;6,00;7,00;7,00;6,50;7,58;2,17;5,42;4,00;3,00;2,00;1,00;5,00;1,00;1,00
2021-05-16;15,00;85,00;45,00;65,00;37,50;3,75;37,50;45,00;22,50;22,50;20,00;55,00;35,00;50,00;10,00;5,00;40,00;120,00;5,00;15,00;4,00;6,00;8,00;8,00;4,29;16,07;2,14;6,43;3,00;2,00;2,00;2,00;11,00;1,00;1,00
2021-05-23;17,00;102,00;51,00;85,00;42,50;4,25;42,50;51,00;34,00;14,57;17,00;58,29;38,25;46,75;12,75;4,25;39,67;153,00;5,67;11,33;5,00;7,00;7,00;8,00;7,44;7,44;2,13;5,31;5,00;2,00;1,00;1,00;16,00;1,00;1,00
2021-05-30;13,00;69,33;34,67;65,00;65,00;6,50;65,00;78,00;33,80;20,80;26,00;44,20;26,00;47,67;8,67;2,17;45,50;195,00;6,50;13,00;7,00;7,00;10,00;9,00;7,58;5,42;2,17;3,25;4,00;2,00;3,00;1,00;8,00;1,00;1,00
2021-06-06;14,00;74,67;42,00;65,33;70,00;7,00;84,00;42,00;21,00;18,67;25,67;51,33;32,67;42,00;14,00;2,33;49,00;210,00;7,00;14,00;5,00;7,00;7,00;10,00;7,54;9,69;2,15;5,38;3,00;3,00;4,00;1,00;4,00;0,50;1,00
2021-06-13;18,00;102,00;54,00;96,00;54,00;4,50;45,00;27,00;28,29;18,00;25,71;43,71;85,50;54,00;9,00;4,50;42,00;168,00;6,00;12,00;9,00;8,00;9,00;9,00;6,35;9,53;2,12;6,35;4,00;2,00;2,00;1,00;4,00;1,00;1,00
2021-06-20;17,00;107,67;56,67;79,33;42,50;4,25;42,50;17,00;24,29;17,00;24,29;51,00;59,50;42,50;12,75;4,25;45,33;170,00;5,67;11,33;10,00;8,00;7,00;9,00;7,44;7,44;4,25;5,31;7,00;1,00;3,00;1,00;5,00;0,00;1,00
2021-06-27;13,00;82,33;43,33;78,00;130,00;6,50;78,00;26,00;26,00;23,40;28,60;46,80;69,33;34,67;13,00;2,17;52,00;201,50;6,50;13,00;7,00;7,00;8,00;12,00;7,58;8,67;3,25;5,42;4,00;4,00;2,00;1,00;8,00;1,00;1,00
2021-07-04;26,00;119,60;46,80;104,00;52,00;4,33;52,00;26,00;28,60;26,00;28,60;52,00;39,00;47,67;13,00;4,33;65,00;208,00;6,50;13,00;10,00;9,00;8,00;11,00;9,75;11,92;3,25;9,75;7,00;5,00;4,00;1,00;7,00;1,00;1,00
2021-07-11;23,00;143,75;69,00;126,50;103,50;5,75;69,00;34,50;33,22;20,44;28,11;51,11;41,40;59,80;18,40;4,60;63,25;207,00;5,75;11,50;9,00;8,00;12,00;13,00;10,95;10,95;4,38;6,57;4,00;3,00;2,00;2,00;10,00;2,00;0,00
2021-07-18;21,00;105,00;52,50;115,50;63,00;5,25;63,00;31,50;28,88;23,63;21,00;44,63;42,00;50,40;8,40;4,20;52,50;199,50;5,25;15,75;5,00;6,00;11,00;11,00;10,50;10,50;2,10;6,30;5,00;2,00;4,00;1,00;5,00;1,00;0,50
2021-07-25;19,00;95,00;57,00;99,75;57,00;4,75;66,50;38,00;29,86;29,86;32,57;59,71;57,00;52,25;14,25;2,38;63,33;285,00;6,33;19,00;11,00;10,00;11,00;10,00;7,82;15,65;3,35;5,59;3,00;3,00;3,00;3,00;12,00;1,00;0,50
2021-08-01;33,00;143,00;60,50;143,00;66,00;5,50;66,00;44,00;33,00;35,54;22,85;43,15;66,00;61,29;14,14;4,71;112,20;316,80;6,60;19,80;12,00;12,00;11,00;10,00;11,71;17,03;4,26;7,45;5,00;2,00;4,00;2,00;11,00;0,00;1,00
2021-08-08;35,00;170,00;70,00;145,00;61,25;8,75;61,25;35,00;32,50;42,50;27,50;42,50;43,75;52,50;17,50;4,38;81,67;332,50;5,83;23,33;12,00;14,00;14,00;13,00;12,73;11,67;3,18;10,61;6,00;5,00;5,00;2,00;12,00;1,00;0,50
2021-08-15;31,00;160,17;67,17;144,67;62,00;5,17;72,33;41,33;41,33;38,75;25,83;49,08;39,86;57,57;17,71;13,29;68,20;334,80;6,20;18,60;15,00;13,00;11,00;14,00;9,62;16,03;3,21;6,41;8,00;5,00;5,00;2,00;7,00;0,50;1,00
2021-08-22;28,00;173,60;84,00;162,40;56,00;4,67;74,67;37,33;43,27;38,18;30,55;56,00;46,67;65,33;23,33;4,67;61,60;240,80;5,60;22,40;13,00;12,00;10,00;17,00;11,85;15,08;4,31;7,54;7,00;3,00;4,00;2,00;5,00;1,00;2,00
2021-08-29;34,00;187,00;96,33;164,33;90,67;5,67;90,67;45,33;47,08;39,23;39,23;47,08;58,29;82,57;24,29;4,86;68,00;283,33;5,67;22,67;12,00;14,00;13,00;16,00;11,69;14,88;5,31;7,44;8,00;4,00;3,00;1,00;7,00;0,50;2,00
2021-09-05;33,00;192,50;77,00;154,00;88,00;11,00;77,00;55,00;55,85;40,62;38,08;43,15;47,14;70,71;28,29;4,71;55,00;264,00;11,00;22,00;10,00;12,00;11,00;24,00;10,65;20,23;5,32;9,58;7,00;6,00;5,00;2,00;10,00;1,00;1,00
2021-09-12;31,00;196,33;87,83;175,67;93,00;10,33;82,67;62,00;54,25;46,50;38,75;69,75;57,57;70,86;31,00;4,43;74,40;310,00;12,40;24,80;12,00;18,00;13,00;23,00;11,76;20,31;2,14;11,76;10,00;2,00;5,00;3,00;10,00;1,00;0,00
2021-09-19;28,00;224,00;117,60;184,80;93,33;9,33;74,67;46,67;66,18;50,91;45,82;106,91;65,33;79,33;32,67;4,67;72,80;263,20;5,60;16,80;11,00;16,00;9,00;22,00;14,00;22,62;3,23;14,00;10,00;3,00;4,00;3,00;11,00;1,00;1,00
2021-09-26;27,00;232,20;113,40;156,60;90,00;9,00;81,00;45,00;71,18;51,55;44,18;100,64;58,50;76,50;27,00;4,50;64,80;253,80;10,80;21,60;11,00;14,00;13,00;27,00;10,38;20,77;4,15;9,35;9,00;2,00;5,00;1,00;9,00;1,00;1,00
2021-10-03;28,00;285,60;123,20;184,80;102,67;9,33;93,33;65,33;91,64;50,91;50,91;134,91;79,33;79,33;32,67;4,67;89,60;280,00;11,20;22,40;8,00;23,00;12,00;28,00;10,77;24,77;4,31;15,08;6,00;3,00;4,00;4,00;8,00;0,00;1,00
2021-10-10;31,00;279,00;129,17;165,33;113,67;10,33;103,33;62,00;87,83;59,42;51,67;124,00;79,71;84,14;35,43;4,43;68,20;316,20;6,20;24,80;14,00;17,00;17,00;27,00;9,62;29,93;3,21;13,90;10,00;5,00;2,00;4,00;11,00;0,50;2,00
2021-10-17;27,00;275,40;140,40;172,80;99,00;4,50;90,00;63,00;81,00;64,80;56,70;121,50;76,50;90,00;27,00;4,50;64,80;259,20;5,40;27,00;9,00;22,00;16,00;26,00;12,96;27,00;4,32;9,72;9,00;4,00;3,00;2,00;8,00;1,00;2,00
2021-10-24;22,00;280,50;121,00;165,00;110,00;11,00;110,00;66,00;79,75;60,50;55,00;121,00;83,60;79,20;30,80;4,40;49,50;291,50;5,50;22,00;8,00;20,00;18,00;24,00;7,70;23,10;2,20;12,10;6,00;5,00;4,00;2,00;7,00;2,00;1,00
2021-10-31;22,00;324,50;137,50;148,50;110,00;11,00;99,00;66,00;82,50;68,75;66,00;132,00;92,40;88,00;30,80;4,40;44,00;264,00;5,50;27,50;10,00;19,00;16,00;27,00;8,80;29,70;3,30;15,40;6,00;3,00;6,00;3,00;5,00;1,00;0,50
2021-11-07;24,00;288,00;129,60;134,40;120,00;12,00;96,00;72,00;104,00;64,00;66,67;120,00;105,60;96,00;43,20;4,80;60,00;318,00;12,00;24,00;8,00;19,00;23,00;24,00;10,43;25,04;5,22;13,57;7,00;3,00;3,00;3,00;6,00;0,50;1,00
2021-11-14;17,00;317,33;124,67;170,00;76,50;8,50;76,50;42,50;92,29;55,86;41,29;109,29;89,25;72,25;29,75;4,25;51,00;277,67;11,33;17,00;9,00;17,00;19,00;24,00;8,50;29,75;3,19;11,69;7,00;3,00;2,00;1,00;6,00;0,50;1,00
2021-11-21;14,00;224,00;74,67;116,67;126,00;7,00;112,00;70,00;112,00;44,80;56,00;114,80;93,33;70,00;23,33;4,67;42,00;357,00;7,00;28,00;8,00;11,00;18,00;18,00;6,46;21,54;5,38;8,62;7,00;2,00;3,00;1,00;6,00;0,00;0,50
2021-11-28;16,00;197,33;58,67;90,67;64,00;4,00;64,00;24,00;66,67;34,67;42,67;101,33;80,00;58,67;16,00;5,33;32,00;208,00;10,67;21,33;5,00;15,00;16,00;20,00;8,53;41,60;2,13;10,67;7,00;2,00;2,00;1,00;6,00;0,50;0,50
2021-12-05;11,00;176,00;60,50;93,50;77,00;5,50;66,00;33,00;71,50;38,50;44,00;90,75;71,50;71,50;22,00;5,50;27,50;198,00;11,00;16,50;4,00;10,00;16,00;15,00;4,40;25,30;4,40;8,80;4,00;3,00;3,00;1,00;4,00;1,00;0,50
2021-12-12;11,00;198,00;66,00;93,50;66,00;11,00;77,00;33,00;55,00;30,25;46,75;101,75;71,50;60,50;22,00;5,50;33,00;187,00;11,00;22,00;9,00;12,00;14,00;15,00;6,60;26,40;2,20;11,00;6,00;4,00;2,00;1,00;8,00;0,00;1,00
2021-12-19;15,00;105,00;50,00;75,00;45,00;3,75;45,00;22,50;45,00;25,00;32,50;87,50;45,00;55,00;25,00;5,00;30,00;150,00;2,50;15,00;3,00;11,00;13,00;11,00;6,43;21,43;3,21;8,57;4,00;3,00;3,00;1,00;6,00;0,00;1,00
2021-12-26;20,00;185,00;70,00;105,00;90,00;5,00;70,00;40,00;47,50;27,50;40,00;100,00;70,00;75,00;25,00;5,00;46,67;240,00;6,67;20,00;8,00;12,00;16,00;24,00;8,42;26,32;3,16;9,47;4,00;4,00;2,00;2,00;6,00;1,00;2,00
2022-01-02;31,00;191,17;93,00;170,50;144,67;5,17;93,00;62,00;77,50;38,75;51,67;113,67;79,71;110,71;17,71;4,43;62,00;248,00;6,20;18,60;9,00;18,00;16,00;24,00;8,55;29,93;6,41;10,69;9,00;4,00;4,00;3,00;8,00;0,50;1,00
2022-01-09;31,00;242,83;113,67;186,00;144,67;5,17;113,67;72,33;85,25;49,08;59,42;118,83;101,86;115,14;22,14;4,43;68,20;285,20;12,40;24,80;13,00;17,00;20,00;27,00;14,97;49,17;5,34;10,69;7,00;6,00;3,00;1,00;9,00;2,00;1,00
2022-01-16;38,00;287,71;119,43;211,71;142,50;9,50;104,50;66,50;78,53;45,60;65,87;139,33;114,00;133,00;23,75;4,75;76,00;335,67;12,67;19,00;15,00;19,00;13,00;20,00;12,67;43,28;5,28;11,61;14,00;5,00;6,00;4,00;11,00;0,00;1,00
2022-01-23;36,00;288,00;118,29;195,43;144,00;9,00;90,00;81,00;87,43;48,86;59,14;169,71;117,00;121,50;31,50;4,50;90,00;336,00;12,00;18,00;15,00;20,00;17,00;26,00;13,76;45,53;4,24;10,59;10,00;9,00;6,00;2,00;10,00;1,00;1,00
2022-01-30;30,00;295,00;115,00;210,00;170,00;5,00;110,00;80,00;90,00;57,50;67,50;132,50;120,00;128,57;30,00;4,29;78,00;354,00;12,00;24,00;14,00;24,00;18,00;24,00;15,52;46,55;6,21;8,28;10,00;5,00;6,00;2,00;11,00;0,50;1,00
2022-02-06;32,00;325,33;144,00;240,00;192,00;10,67;128,00;106,67;83,69;61,54;81,23;142,77;128,00;128,00;27,43;4,57;83,20;377,60;12,80;25,60;17,00;30,00;19,00;31,00;12,80;52,27;6,40;13,87;12,00;4,00;7,00;2,00;9,00;2,00;1,00
2022-02-13;41,00;333,13;153,75;271,63;205,00;10,25;133,25;112,75;99,94;69,19;79,44;143,50;123,00;150,33;31,89;4,56;87,86;380,71;17,57;29,29;17,00;22,00;22,00;33,00;16,18;65,82;4,32;35,61;14,00;6,00;5,00;3,00;10,00;2,00;1,00
2022-02-20;35,00;325,00;140,00;230,00;157,50;8,75;122,50;87,50;102,50;65,00;85,00;142,50;118,13;126,88;30,63;4,38;81,67;361,67;11,67;29,17;16,00;24,00;20,00;29,00;12,73;56,21;4,24;15,91;11,00;7,00;6,00;4,00;7,00;1,00;0,50
2022-02-27;41,00;343,38;164,00;246,00;174,25;10,25;123,00;82,00;112,75;61,50;84,56;135,81;113,89;123,00;27,33;4,56;76,14;322,14;11,71;29,29;10,00;21,00;24,00;37,00;14,72;52,56;6,31;15,77;12,00;5,00;6,00;2,00;7,00;2,00;2,00
