Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;53,00;6,00;4,00;12,00;8,00;7,00;1,00;15,00;2,00;5,05;1,26;40,38;35,33;42,00;0,00;12,00;9,00;2,12;0,00;93,28;0,00;0,00;5,00;1,00;4,00;1,00;0,00;1,00;5,00;6,00;17,00;2,00;4,00;1,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;28,00;7,00;0,00;10,00;11,00;2,00;1,00;9,00;2,00;2,55;1,27;15,27;38,18;8,00;1,00;3,00;4,00;4,31;0,00;66,77;2,15;1,00;6,00;2,00;3,00;0,00;0,00;1,00;0,00;2,00;16,00;1,00;3,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;47,00;7,00;2,00;5,00;8,00;2,00;4,00;4,00;0,00;0,00;1,24;7,42;19,79;3,00;0,00;3,00;4,00;2,14;2,14;102,55;2,14;1,00;4,00;0,00;3,00;2,00;0,00;1,00;2,00;4,00;13,00;2,00;9,00;5,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;24,00;4,00;3,00;8,00;5,00;1,00;1,00;4,00;1,00;1,20;0,00;9,60;26,40;3,00;0,00;1,00;5,00;0,00;1,09;89,45;2,18;0,00;0,00;0,00;5,00;1,00;0,00;2,00;2,00;2,00;15,00;0,00;9,00;2,00;0,00;1,00;3,00;1,00;0,00;0,00;0,00;0,00
2019-02-03;36,00;2,00;6,00;7,00;6,00;1,00;1,00;4,00;0,00;1,20;0,00;9,60;19,20;3,00;2,00;7,00;3,00;2,12;0,00;57,18;0,00;1,00;3,00;0,00;8,00;0,00;2,00;1,00;3,00;3,00;4,00;0,00;11,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;37,00;3,00;8,00;13,00;6,00;3,00;2,00;3,00;1,00;1,23;1,23;4,93;27,13;2,00;3,00;8,00;1,00;2,18;0,00;74,00;0,00;2,00;4,00;0,00;6,00;1,00;1,00;0,00;1,00;2,00;2,00;2,00;3,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;26,00;7,00;4,00;7,00;6,00;1,00;2,00;6,00;0,00;2,60;0,00;13,00;23,40;2,00;2,00;7,00;1,00;4,33;2,17;84,50;0,00;0,00;4,00;2,00;7,00;1,00;0,00;6,00;0,00;4,00;6,00;1,00;3,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;35,00;4,00;8,00;10,00;11,00;0,00;0,00;4,00;0,00;2,50;1,25;5,00;25,00;1,00;0,00;10,00;3,00;2,19;0,00;78,75;2,19;0,00;7,00;1,00;6,00;2,00;1,00;1,00;0,00;1,00;7,00;3,00;3,00;3,00;0,00;0,00;0,00;8,00;0,00;0,00;1,00;0,00
2019-03-03;43,00;11,00;5,00;9,00;7,00;1,00;2,00;4,00;1,00;0,00;1,26;10,12;27,82;2,00;1,00;5,00;4,00;2,15;2,15;66,65;2,15;0,00;1,00;0,00;5,00;0,00;2,00;2,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;1,00;1,00;8,00;0,00;0,00;0,00;0,00
2019-03-10;32,00;2,00;13,00;5,00;8,00;6,00;3,00;7,00;0,00;2,46;1,23;12,31;32,00;2,00;2,00;7,00;7,00;2,13;0,00;49,07;0,00;0,00;3,00;0,00;5,00;0,00;0,00;3,00;2,00;1,00;3,00;0,00;2,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-03-17;19,00;3,00;0,00;6,00;8,00;1,00;1,00;3,00;1,00;0,00;0,00;2,71;21,71;1,00;0,00;6,00;2,00;4,22;0,00;44,33;2,11;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;2,00;6,00;1,00;0,00;1,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00
2019-03-24;25,00;2,00;6,00;7,00;2,00;4,00;0,00;1,00;0,00;2,50;0,00;10,00;30,00;1,00;1,00;5,00;0,00;0,00;2,27;54,55;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;5,00;1,00;2,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00
2019-03-31;32,00;1,00;0,00;3,00;3,00;1,00;1,00;3,00;0,00;0,00;0,00;9,85;29,54;1,00;0,00;2,00;0,00;2,13;0,00;40,53;0,00;0,00;6,00;0,00;2,00;0,00;0,00;2,00;1,00;3,00;1,00;1,00;5,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-04-07;26,00;2,00;2,00;18,00;2,00;1,00;0,00;1,00;0,00;1,30;0,00;5,20;20,80;1,00;0,00;2,00;3,00;0,00;0,00;39,00;2,17;0,00;1,00;2,00;1,00;1,00;1,00;3,00;3,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;36,00;4,00;2,00;4,00;5,00;2,00;0,00;2,00;0,00;0,00;1,29;5,14;23,14;1,00;1,00;0,00;0,00;2,12;0,00;38,12;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;6,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;41,00;5,00;4,00;12,00;4,00;0,00;1,00;2,00;0,00;2,41;4,82;2,41;21,71;1,00;0,00;2,00;5,00;0,00;0,00;53,95;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;6,00;1,00;6,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-04-28;30,00;3,00;1,00;5,00;2,00;2,00;1,00;2,00;0,00;1,25;0,00;2,50;12,50;0,00;0,00;1,00;6,00;0,00;0,00;49,29;2,14;0,00;0,00;0,00;2,00;0,00;0,00;1,00;0,00;1,00;1,00;0,00;3,00;0,00;0,00;1,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;16,00;1,00;0,00;11,00;1,00;2,00;1,00;3,00;0,00;1,33;0,00;2,67;18,67;1,00;0,00;3,00;2,00;0,00;0,00;48,00;2,29;0,00;1,00;2,00;1,00;1,00;0,00;0,00;0,00;2,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-05-12;18,00;1,00;5,00;7,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;15,43;0,00;0,00;2,00;3,00;2,25;0,00;38,25;2,25;0,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;10,00;0,00;2,00;9,00;1,00;2,00;2,00;3,00;0,00;0,00;0,00;5,00;15,00;5,00;0,00;2,00;5,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;17,00;0,00;2,00;8,00;2,00;2,00;0,00;3,00;0,00;0,00;1,21;0,00;12,14;0,00;0,00;5,00;3,00;0,00;0,00;29,75;0,00;0,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;21,00;0,00;6,00;5,00;0,00;5,00;0,00;0,00;0,00;1,31;0,00;2,63;18,38;0,00;1,00;3,00;5,00;4,20;0,00;33,60;0,00;0,00;0,00;5,00;1,00;1,00;0,00;0,00;0,00;1,00;3,00;1,00;1,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;23,00;1,00;5,00;12,00;2,00;5,00;1,00;3,00;0,00;2,56;1,28;5,11;28,11;5,00;0,00;0,00;7,00;2,09;0,00;37,64;0,00;0,00;5,00;0,00;0,00;1,00;1,00;0,00;1,00;1,00;5,00;0,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;37,00;0,00;7,00;30,00;3,00;3,00;0,00;5,00;0,00;0,00;0,00;7,40;24,67;1,00;0,00;2,00;5,00;2,18;0,00;52,24;2,18;0,00;6,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;7,00;0,00;5,00;0,00;0,00;5,00;1,00;2,00;0,00;0,00;0,00;0,00
2019-06-23;27,00;1,00;7,00;20,00;1,00;4,00;0,00;8,00;0,00;0,00;0,00;4,91;27,00;0,00;0,00;5,00;5,00;4,50;0,00;54,00;2,25;0,00;1,00;2,00;0,00;4,00;1,00;0,00;1,00;1,00;2,00;0,00;5,00;2,00;0,00;1,00;2,00;4,00;1,00;0,00;0,00;0,00
2019-06-30;39,00;3,00;5,00;28,00;1,00;1,00;1,00;2,00;0,00;1,30;0,00;10,40;31,20;2,00;3,00;5,00;6,00;2,17;2,17;62,83;0,00;0,00;2,00;1,00;2,00;0,00;1,00;1,00;1,00;1,00;6,00;0,00;12,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;48,00;0,00;9,00;17,00;2,00;8,00;0,00;4,00;0,00;0,00;0,00;2,53;35,37;3,00;0,00;7,00;6,00;6,55;0,00;50,18;6,55;0,00;1,00;1,00;2,00;0,00;0,00;1,00;1,00;2,00;3,00;0,00;9,00;2,00;0,00;2,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-07-14;53,00;0,00;8,00;23,00;5,00;5,00;2,00;7,00;0,00;2,52;0,00;5,05;42,90;3,00;0,00;10,00;11,00;2,21;0,00;70,67;2,21;0,00;1,00;6,00;1,00;0,00;0,00;0,00;2,00;0,00;7,00;0,00;5,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;51,00;14,00;15,00;20,00;2,00;19,00;1,00;5,00;1,00;0,00;0,00;7,29;242,86;2,00;0,00;2,00;11,00;2,13;4,25;80,75;2,13;0,00;0,00;4,00;6,00;0,00;2,00;2,00;11,00;2,00;8,00;4,00;6,00;2,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;47,00;2,00;4,00;23,00;4,00;2,00;2,00;2,00;0,00;0,00;0,00;9,89;86,58;0,00;5,00;7,00;6,00;2,14;2,14;79,05;2,14;0,00;1,00;1,00;1,00;0,00;1,00;2,00;1,00;1,00;12,00;0,00;6,00;4,00;0,00;5,00;2,00;1,00;0,00;0,00;0,00;0,00
2019-08-04;82,00;0,00;1,00;25,00;5,00;6,00;0,00;9,00;0,00;0,00;1,24;12,42;44,73;4,00;1,00;2,00;12,00;2,16;2,16;84,16;4,32;0,00;0,00;5,00;4,00;2,00;0,00;1,00;0,00;9,00;6,00;4,00;6,00;0,00;1,00;5,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;74,00;1,00;5,00;18,00;5,00;7,00;0,00;9,00;1,00;2,47;2,47;9,87;54,27;7,00;1,00;7,00;9,00;2,18;0,00;117,53;2,18;0,00;0,00;4,00;3,00;3,00;1,00;3,00;1,00;4,00;3,00;1,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;63,00;1,00;4,00;7,00;1,00;4,00;1,00;2,00;0,00;0,00;0,00;5,04;42,84;1,00;1,00;7,00;8,00;2,17;2,17;95,59;0,00;0,00;0,00;5,00;2,00;0,00;4,00;2,00;5,00;2,00;11,00;1,00;2,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;51,00;0,00;1,00;12,00;2,00;2,00;0,00;8,00;0,00;2,55;1,28;5,10;33,15;2,00;2,00;3,00;5,00;0,00;0,00;102,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;1,00;0,00;2,00;3,00;1,00;5,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;34,00;1,00;1,00;2,00;3,00;3,00;1,00;3,00;0,00;0,00;0,00;4,86;21,86;1,00;0,00;5,00;7,00;1,06;0,00;57,38;0,00;0,00;0,00;1,00;0,00;1,00;0,00;2,00;1,00;1,00;1,00;1,00;4,00;0,00;0,00;1,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;37,00;3,00;0,00;5,00;4,00;2,00;0,00;5,00;2,00;0,00;2,47;4,93;19,73;1,00;0,00;8,00;4,00;4,35;0,00;54,41;0,00;0,00;0,00;2,00;2,00;1,00;0,00;0,00;2,00;4,00;4,00;0,00;4,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;32,00;1,00;8,00;9,00;2,00;0,00;0,00;3,00;1,00;2,46;0,00;7,38;22,15;2,00;0,00;0,00;6,00;2,13;0,00;44,80;0,00;0,00;2,00;0,00;2,00;0,00;0,00;2,00;0,00;3,00;3,00;0,00;5,00;0,00;0,00;1,00;3,00;1,00;0,00;0,00;0,00;0,00
2019-09-22;31,00;4,00;4,00;6,00;3,00;2,00;1,00;1,00;1,00;1,29;0,00;5,17;33,58;4,00;1,00;3,00;4,00;4,43;1,11;66,43;0,00;0,00;1,00;2,00;4,00;0,00;1,00;1,00;2,00;2,00;0,00;1,00;5,00;1,00;1,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;31,00;1,00;1,00;4,00;6,00;2,00;0,00;3,00;0,00;2,38;0,00;2,38;14,31;1,00;0,00;6,00;8,00;2,21;0,00;57,57;0,00;0,00;1,00;1,00;3,00;2,00;0,00;1,00;2,00;0,00;6,00;1,00;4,00;2,00;0,00;1,00;1,00;2,00;0,00;0,00;0,00;0,00
2019-10-06;36,00;1,00;2,00;5,00;3,00;0,00;1,00;4,00;0,00;0,00;0,00;2,40;21,60;0,00;0,00;8,00;7,00;6,35;0,00;42,35;2,12;0,00;1,00;0,00;1,00;0,00;0,00;0,00;1,00;3,00;11,00;0,00;7,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;35,00;5,00;0,00;9,00;3,00;5,00;0,00;3,00;2,00;1,25;2,50;5,00;15,00;1,00;0,00;2,00;4,00;2,19;0,00;45,94;0,00;0,00;1,00;2,00;1,00;0,00;0,00;2,00;2,00;0,00;2,00;1,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-10-20;31,00;3,00;2,00;12,00;1,00;2,00;1,00;6,00;0,00;0,00;1,29;1,29;25,83;1,00;2,00;2,00;5,00;1,11;0,00;50,93;1,11;0,00;1,00;2,00;3,00;1,00;2,00;1,00;3,00;2,00;6,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-10-27;42,00;1,00;0,00;10,00;2,00;3,00;1,00;2,00;1,00;1,24;0,00;2,47;24,71;1,00;0,00;5,00;2,00;4,42;0,00;64,11;0,00;0,00;5,00;2,00;3,00;0,00;2,00;1,00;1,00;4,00;5,00;0,00;1,00;0,00;0,00;3,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;30,00;1,00;5,00;4,00;4,00;4,00;2,00;5,00;1,00;2,50;1,25;1,25;25,00;1,00;0,00;11,00;6,00;2,14;1,07;75,00;0,00;0,00;3,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;2,00;5,00;5,00;0,00;0,00;0,00;3,00;0,00;1,00;0,00;0,00;0,00
2019-11-10;40,00;2,00;3,00;7,00;5,00;4,00;0,00;1,00;1,00;1,25;0,00;7,50;22,50;0,00;1,00;5,00;6,00;2,22;0,00;71,11;1,11;0,00;5,00;2,00;2,00;0,00;0,00;0,00;1,00;4,00;3,00;2,00;1,00;1,00;1,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;30,00;4,00;1,00;9,00;3,00;2,00;2,00;3,00;0,00;1,25;0,00;2,50;37,50;1,00;0,00;6,00;2,00;2,14;0,00;92,14;0,00;0,00;4,00;0,00;0,00;0,00;1,00;1,00;1,00;4,00;4,00;3,00;3,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;34,00;3,00;2,00;6,00;8,00;5,00;3,00;2,00;0,00;4,86;0,00;2,43;29,14;0,00;0,00;11,00;2,00;1,06;0,00;80,75;0,00;1,00;6,00;1,00;0,00;1,00;0,00;0,00;1,00;3,00;5,00;0,00;2,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;1,00
2019-12-01;31,00;3,00;6,00;14,00;1,00;3,00;0,00;3,00;2,00;0,00;0,00;9,54;23,85;1,00;0,00;7,00;5,00;2,21;0,00;95,21;0,00;1,00;4,00;2,00;3,00;1,00;0,00;2,00;3,00;4,00;4,00;1,00;4,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-12-08;41,00;3,00;3,00;17,00;7,00;4,00;2,00;3,00;2,00;1,21;0,00;2,41;28,94;1,00;0,00;8,00;3,00;2,16;2,16;146,74;2,16;0,00;5,00;1,00;5,00;0,00;1,00;4,00;3,00;5,00;5,00;3,00;1,00;2,00;0,00;0,00;3,00;0,00;1,00;0,00;0,00;0,00
2019-12-15;48,00;6,00;6,00;14,00;4,00;5,00;2,00;2,00;1,00;2,53;0,00;7,58;17,68;2,00;2,00;3,00;4,00;2,18;2,18;141,82;0,00;0,00;8,00;3,00;4,00;1,00;0,00;3,00;4,00;2,00;13,00;1,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-12-22;64,00;9,00;6,00;10,00;4,00;3,00;3,00;8,00;1,00;0,00;0,00;7,38;36,92;4,00;0,00;23,00;0,00;0,00;0,00;172,80;0,00;1,00;5,00;3,00;6,00;3,00;0,00;1,00;3,00;5,00;15,00;6,00;4,00;1,00;0,00;0,00;5,00;3,00;1,00;0,00;0,00;0,00
2019-12-29;96,00;4,00;7,00;19,00;7,00;5,00;6,00;6,00;0,00;7,38;1,23;9,85;54,15;1,00;2,00;26,00;6,00;4,36;0,00;218,18;2,18;0,00;12,00;1,00;6,00;4,00;1,00;4,00;2,00;9,00;9,00;4,00;6,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
