Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2021-01-31;29,00;0,00;1,00;4,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;9,67;0,00;0,00;11,00;0,00;0,00;0,00;44,62;0,00;0,00;2,00;1,00;0,00;0,00;0,00;2,00;0,00;2,00;3,00;0,00;7,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2021-02-07;7,00;1,00;1,00;5,00;3,00;0,00;1,00;1,00;0,00;1,17;0,00;1,17;9,33;0,00;0,00;5,00;0,00;0,00;0,00;51,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00;0,00;2,00;1,00;2,00;0,00;0,00;0,00;0,00
2021-02-14;12,00;1,00;2,00;2,00;7,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;7,20;0,00;0,00;10,00;1,00;0,00;0,00;74,40;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2021-02-21;11,00;0,00;1,00;4,00;0,00;0,00;0,00;0,00;0,00;1,38;0,00;0,00;19,25;1,00;0,00;9,00;0,00;1,10;0,00;48,40;1,10;0,00;2,00;1,00;0,00;0,00;0,00;2,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2021-02-28;9,00;0,00;1,00;1,00;1,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;15,75;1,00;0,00;1,00;0,00;2,25;0,00;20,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-07;8,00;0,00;0,00;2,00;1,00;2,00;0,00;6,00;0,00;1,33;0,00;2,67;5,33;0,00;0,00;3,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-03-14;10,00;0,00;1,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,25;15,00;2,00;0,00;3,00;3,00;0,00;0,00;30,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;3,00;0,00;0,00;1,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00
2021-03-21;9,00;1,00;1,00;3,00;1,00;0,00;0,00;0,00;0,00;1,13;0,00;0,00;11,25;0,00;0,00;4,00;0,00;0,00;0,00;15,75;1,13;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2021-03-28;7,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,33;1,00;0,00;1,00;1,00;0,00;0,00;21,00;2,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2021-04-04;9,00;0,00;0,00;3,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;1,13;9,00;1,00;0,00;3,00;2,00;2,25;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;3,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2021-04-11;6,00;0,00;2,00;1,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;12,00;1,00;0,00;5,00;2,00;0,00;1,00;26,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;0,00;1,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-04-18;10,00;0,00;3,00;9,00;1,00;1,00;1,00;3,00;0,00;0,00;0,00;1,25;7,50;0,00;0,00;4,00;1,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-25;7,00;1,00;0,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;2,33;7,00;1,00;0,00;1,00;1,00;0,00;0,00;21,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-05-02;5,00;0,00;5,00;6,00;3,00;0,00;0,00;0,00;0,00;1,25;0,00;0,00;15,00;0,00;0,00;1,00;1,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2021-05-09;3,00;0,00;0,00;6,00;1,00;1,00;1,00;0,00;0,00;3,00;0,00;3,00;15,00;0,00;0,00;2,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-16;8,00;0,00;2,00;4,00;0,00;2,00;1,00;1,00;0,00;0,00;0,00;2,67;10,67;0,00;3,00;5,00;1,00;0,00;1,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-23;13,00;0,00;2,00;4,00;0,00;3,00;0,00;1,00;0,00;0,00;0,00;1,30;7,80;1,00;0,00;2,00;1,00;1,08;0,00;19,50;1,08;0,00;1,00;0,00;1,00;1,00;0,00;1,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2021-05-30;10,00;0,00;2,00;3,00;0,00;0,00;0,00;0,00;0,00;1,25;1,25;1,25;20,00;0,00;0,00;6,00;2,00;0,00;0,00;22,00;2,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;4,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-06-06;4,00;0,00;2,00;16,00;2,00;2,00;1,00;1,00;0,00;0,00;0,00;2,00;6,00;1,00;0,00;2,00;1,00;1,00;1,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-13;15,00;0,00;3,00;17,00;3,00;2,00;0,00;2,00;0,00;0,00;0,00;1,25;15,00;0,00;0,00;1,00;2,00;2,14;0,00;23,57;2,14;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-20;14,00;0,00;2,00;13,00;1,00;4,00;0,00;1,00;0,00;1,17;0,00;0,00;14,00;0,00;0,00;2,00;2,00;2,33;0,00;42,00;0,00;0,00;2,00;3,00;0,00;0,00;1,00;0,00;1,00;2,00;1,00;2,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-06-27;20,00;1,00;5,00;21,00;0,00;11,00;1,00;3,00;0,00;0,00;0,00;2,50;10,00;0,00;0,00;3,00;7,00;2,22;0,00;37,78;8,89;0,00;0,00;2,00;1,00;0,00;1,00;1,00;2,00;1,00;6,00;0,00;2,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-07-04;36,00;1,00;7,00;20,00;1,00;23,00;0,00;3,00;0,00;0,00;0,00;2,57;28,29;0,00;0,00;2,00;5,00;0,00;2,12;42,35;4,24;0,00;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;2,00;0,00;0,00;2,00;2,00;1,00;0,00;0,00;0,00;0,00
2021-07-11;25,00;0,00;3,00;15,00;1,00;1,00;0,00;5,00;2,00;0,00;0,00;0,00;30,00;1,00;0,00;7,00;8,00;0,00;2,27;38,64;0,00;0,00;1,00;2,00;2,00;0,00;0,00;2,00;2,00;2,00;2,00;0,00;1,00;2,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00;0,00
2021-07-18;35,00;1,00;1,00;21,00;4,00;3,00;1,00;6,00;1,00;0,00;0,00;2,50;20,00;0,00;0,00;6,00;4,00;2,19;0,00;52,50;2,19;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;5,00;1,00;6,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-07-25;29,00;1,00;7,00;18,00;1,00;4,00;1,00;2,00;1,00;0,00;0,00;1,21;24,17;2,00;0,00;8,00;8,00;2,23;0,00;53,54;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;8,00;0,00;5,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-01;45,00;2,00;7,00;10,00;2,00;1,00;1,00;6,00;0,00;0,00;0,00;10,00;40,00;0,00;0,00;3,00;5,00;2,14;0,00;57,86;0,00;0,00;3,00;1,00;2,00;0,00;0,00;0,00;0,00;3,00;6,00;0,00;10,00;3,00;1,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-08-08;42,00;2,00;0,00;9,00;6,00;5,00;1,00;9,00;0,00;1,24;2,47;12,35;27,18;2,00;0,00;6,00;6,00;0,00;2,10;96,60;0,00;0,00;0,00;0,00;4,00;0,00;2,00;0,00;5,00;2,00;7,00;2,00;5,00;2,00;0,00;4,00;1,00;0,00;1,00;0,00;1,00;0,00
2021-08-15;59,00;1,00;5,00;12,00;2,00;3,00;1,00;2,00;0,00;2,46;0,00;4,92;41,79;4,00;0,00;4,00;5,00;2,19;0,00;111,44;0,00;1,00;2,00;4,00;5,00;2,00;2,00;0,00;1,00;4,00;4,00;1,00;10,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2021-08-22;40,00;1,00;2,00;7,00;2,00;4,00;1,00;0,00;0,00;0,00;0,00;1,25;32,50;1,00;0,00;8,00;5,00;2,22;0,00;86,67;0,00;1,00;2,00;1,00;2,00;0,00;1,00;1,00;0,00;8,00;5,00;4,00;2,00;1,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00
2021-08-29;27,00;1,00;4,00;4,00;2,00;1,00;1,00;4,00;0,00;2,45;0,00;2,45;19,64;2,00;0,00;2,00;5,00;2,08;0,00;43,62;2,08;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;5,00;1,00;0,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00
2021-09-05;24,00;0,00;2,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,40;21,60;1,00;0,00;2,00;2,00;0,00;0,00;54,55;0,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00;0,00;2,00;1,00;0,00;2,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2021-09-12;26,00;0,00;2,00;4,00;4,00;0,00;0,00;2,00;0,00;1,30;1,30;7,80;18,20;1,00;0,00;4,00;6,00;2,17;0,00;45,50;0,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-19;13,00;2,00;1,00;4,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;10,40;0,00;1,00;12,00;2,00;2,17;0,00;54,17;0,00;0,00;2,00;2,00;0,00;1,00;0,00;1,00;1,00;0,00;2,00;1,00;7,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-26;15,00;0,00;1,00;5,00;1,00;1,00;1,00;2,00;0,00;0,00;0,00;2,50;7,50;1,00;0,00;7,00;1,00;0,00;0,00;38,57;0,00;0,00;2,00;4,00;1,00;0,00;0,00;1,00;1,00;2,00;6,00;0,00;6,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-10-03;37,00;2,00;2,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;2,47;32,07;1,00;0,00;7,00;1,00;2,18;0,00;45,71;0,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;2,00;0,00;2,00;2,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2021-10-10;30,00;3,00;3,00;5,00;5,00;5,00;0,00;1,00;0,00;2,50;0,00;5,00;20,00;1,00;1,00;5,00;6,00;0,00;0,00;53,57;0,00;0,00;3,00;0,00;4,00;0,00;1,00;0,00;0,00;0,00;8,00;1,00;3,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00
2021-10-17;22,00;0,00;2,00;1,00;1,00;1,00;0,00;0,00;0,00;4,89;0,00;1,22;22,00;0,00;0,00;1,00;0,00;0,00;0,00;48,40;2,20;0,00;1,00;0,00;1,00;1,00;0,00;2,00;1,00;1,00;5,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-10-24;27,00;0,00;2,00;6,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00;2,45;24,55;2,00;1,00;4,00;4,00;2,25;2,25;69,75;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;2,00;4,00;1,00;1,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2021-10-31;39,00;2,00;2,00;14,00;2,00;3,00;0,00;2,00;2,00;2,44;0,00;2,44;34,13;2,00;0,00;7,00;1,00;2,17;0,00;86,67;0,00;0,00;1,00;0,00;4,00;0,00;0,00;1,00;1,00;0,00;2,00;0,00;4,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00
2021-11-07;33,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;2,54;1,27;1,27;40,62;1,00;1,00;6,00;0,00;0,00;0,00;66,00;0,00;1,00;0,00;1,00;0,00;2,00;0,00;1,00;1,00;2,00;5,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-11-14;30,00;1,00;1,00;10,00;2,00;0,00;0,00;1,00;1,00;1,25;0,00;1,25;30,00;0,00;0,00;9,00;1,00;2,14;0,00;75,00;0,00;0,00;2,00;0,00;1,00;0,00;1,00;4,00;2,00;1,00;2,00;2,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-11-21;25,00;0,00;1,00;7,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;2,00;0,00;0,00;0,00;70,83;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2021-11-28;38,00;5,00;5,00;8,00;0,00;4,00;1,00;1,00;1,00;1,27;0,00;7,60;38,00;0,00;0,00;4,00;0,00;0,00;0,00;105,56;0,00;0,00;5,00;0,00;6,00;1,00;0,00;2,00;1,00;2,00;0,00;4,00;1,00;1,00;0,00;1,00;6,00;0,00;0,00;0,00;0,00;0,00
2021-12-05;32,00;6,00;1,00;13,00;1,00;1,00;3,00;3,00;0,00;2,46;0,00;2,46;32,00;1,00;1,00;13,00;1,00;2,13;0,00;211,20;0,00;0,00;3,00;1,00;6,00;0,00;0,00;3,00;6,00;8,00;3,00;4,00;3,00;0,00;0,00;0,00;5,00;1,00;0,00;0,00;0,00;0,00
2021-12-12;33,00;4,00;3,00;4,00;3,00;0,00;1,00;0,00;0,00;0,00;2,54;5,08;20,31;0,00;0,00;6,00;1,00;0,00;0,00;123,20;2,20;0,00;10,00;0,00;3,00;0,00;0,00;1,00;17,00;3,00;1,00;1,00;4,00;1,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2021-12-19;34,00;0,00;7,00;10,00;2,00;2,00;5,00;2,00;0,00;7,29;0,00;2,43;24,29;0,00;0,00;7,00;0,00;0,00;0,00;129,63;0,00;0,00;15,00;0,00;0,00;0,00;0,00;3,00;18,00;5,00;5,00;0,00;2,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2021-12-26;100,00;7,00;3,00;8,00;2,00;3,00;2,00;2,00;3,00;2,50;0,00;7,50;52,50;2,00;3,00;8,00;3,00;0,00;2,17;178,26;2,17;2,00;15,00;0,00;3,00;0,00;0,00;2,00;0,00;8,00;8,00;3,00;7,00;2,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00
2022-01-02;74,00;3,00;5,00;21,00;6,00;3,00;2,00;5,00;0,00;2,47;0,00;4,93;37,00;9,00;3,00;35,00;2,00;2,18;0,00;128,41;0,00;0,00;8,00;2,00;8,00;0,00;0,00;5,00;0,00;8,00;8,00;5,00;5,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-01-09;18,00;3,00;4,00;7,00;1,00;1,00;0,00;0,00;3,00;2,57;0,00;5,14;38,57;1,00;0,00;16,00;6,00;0,00;0,00;62,00;0,00;1,00;3,00;4,00;1,00;0,00;0,00;1,00;0,00;3,00;6,00;4,00;3,00;3,00;0,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00
2022-01-16;27,00;4,00;4,00;9,00;6,00;1,00;0,00;0,00;1,00;2,45;0,00;4,91;22,09;0,00;0,00;6,00;0,00;0,00;2,25;81,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;1,00;4,00;11,00;4,00;0,00;3,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00
2022-01-23;24,00;6,00;4,00;7,00;4,00;0,00;0,00;3,00;1,00;0,00;0,00;4,80;36,00;4,00;1,00;3,00;4,00;0,00;0,00;80,73;2,18;0,00;3,00;0,00;4,00;0,00;1,00;4,00;4,00;0,00;11,00;0,00;3,00;1,00;0,00;1,00;3,00;1,00;0,00;0,00;0,00;0,00
2022-01-30;20,00;3,00;3,00;6,00;3,00;1,00;3,00;0,00;0,00;2,50;0,00;7,50;20,00;1,00;1,00;14,00;3,00;2,22;0,00;82,22;2,22;0,00;10,00;0,00;1,00;0,00;1,00;3,00;4,00;4,00;7,00;4,00;4,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-02-06;26,00;4,00;4,00;6,00;9,00;2,00;0,00;4,00;0,00;0,00;0,00;7,09;37,82;1,00;1,00;12,00;1,00;0,00;0,00;78,00;2,17;0,00;6,00;0,00;1,00;0,00;3,00;1,00;1,00;3,00;3,00;1,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-02-13;41,00;6,00;4,00;7,00;3,00;6,00;0,00;4,00;3,00;0,00;2,41;4,82;26,53;3,00;1,00;7,00;4,00;0,00;0,00;79,84;2,16;1,00;1,00;3,00;3,00;0,00;0,00;1,00;4,00;3,00;4,00;3,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-02-20;36,00;10,00;3,00;1,00;6,00;10,00;4,00;3,00;0,00;0,00;0,00;5,14;23,14;1,00;1,00;4,00;0,00;0,00;0,00;99,53;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-02-27;21,00;0,00;2,00;3,00;5,00;0,00;0,00;2,00;0,00;0,00;0,00;2,63;15,75;2,00;0,00;7,00;2,00;0,00;0,00;73,50;0,00;0,00;9,00;0,00;0,00;0,00;2,00;5,00;2,00;2,00;3,00;2,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
