Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2020-07-12;63,00;630,00;252,00;299,25;79,80;16,80;79,80;75,60;134,40;231,00;79,80;92,40;80,18;88,77;68,73;28,64;64,75;31,50;43,75;42,00;26,37;68,86;14,65;33,70;30,19;22,31;15,75;51,19;16,00;20,00;27,00;8,00;16,00;7,00;4,00
2020-07-19;65,00;650,00;243,75;195,00;78,00;13,00;82,33;78,00;117,00;216,67;69,33;130,00;67,83;101,74;62,17;25,43;61,49;42,16;29,86;42,16;33,26;95,23;18,14;22,67;22,55;30,51;19,90;54,39;11,00;7,00;16,00;2,00;23,00;12,00;1,00
2020-07-26;49,00;604,33;196,00;196,00;65,33;16,33;73,50;77,58;98,00;196,00;65,33;102,08;60,53;95,12;51,88;25,94;57,75;52,50;24,50;42,00;37,12;78,70;13,36;38,61;23,84;25,16;11,92;41,05;11,00;11,00;5,00;6,00;21,00;9,00;6,00
2020-08-02;64,00;528,00;240,00;96,00;76,80;17,07;76,80;64,00;102,40;187,73;46,93;110,93;72,35;119,65;55,65;22,26;65,78;39,11;35,56;40,89;25,30;56,56;32,74;31,26;28,00;20,00;18,67;56,00;11,00;14,00;5,00;9,00;14,00;7,00;7,00
2020-08-09;51,00;646,00;255,00;136,00;85,00;12,75;59,50;72,25;89,25;178,50;51,00;85,00;62,33;73,67;45,33;34,00;40,45;38,69;26,38;35,17;34,50;66,00;13,50;28,50;21,47;18,79;17,45;29,53;6,00;15,00;7,00;5,00;17,00;5,00;5,00
2020-08-16;44,00;322,67;161,33;102,67;83,60;13,20;48,40;57,20;96,80;162,80;74,80;79,20;64,53;93,87;41,07;20,53;28,16;33,44;14,08;31,68;19,72;47,03;22,76;21,24;20,00;25,33;8,00;29,33;10,00;13,00;2,00;1,00;10,00;9,00;3,00
2020-08-23;66,00;297,00;412,50;66,00;82,50;16,50;37,13;78,38;82,50;177,38;66,00;86,63;48,78;106,17;60,26;17,22;33,89;37,46;14,27;46,38;16,50;66,00;21,00;30,00;21,55;17,51;22,90;25,59;8,00;8,00;2,00;2,00;14,00;6,00;5,00
2020-08-30;53,00;265,00;318,00;53,00;65,23;8,15;48,92;53,00;85,62;130,46;77,46;57,08;27,89;78,11;53,00;16,74;60,07;53,00;14,13;38,87;6,06;56,03;19,69;28,77;10,60;19,88;11,93;39,75;8,00;7,00;4,00;1,00;6,00;2,00;0,00
2020-09-06;20,00;340,00;260,00;80,00;92,00;12,00;44,00;56,00;92,00;132,00;68,00;76,00;31,43;102,86;45,71;11,43;65,00;45,00;10,00;30,00;11,43;48,57;18,57;32,86;10,67;16,00;10,67;45,33;7,00;5,00;3,00;1,00;7,00;2,00;0,00
2020-09-13;19,00;266,00;228,00;57,00;104,50;4,75;57,00;57,00;80,75;166,25;85,50;95,00;27,14;103,14;67,86;16,29;58,73;39,73;6,91;34,55;16,08;39,46;16,08;35,08;8,14;14,93;5,43;47,50;5,00;7,00;1,00;1,00;5,00;0,00;1,00
2020-09-20;11,00;198,00;143,00;44,00;88,00;3,67;47,67;51,33;47,67;110,00;62,33;77,00;33,00;96,25;49,50;19,25;55,00;34,83;5,50;31,17;8,25;33,00;23,38;16,50;6,11;11,00;8,56;28,11;8,00;6,00;5,00;1,00;5,00;1,00;0,00
2020-09-27;13,00;208,00;117,00;52,00;73,67;4,33;69,33;47,67;34,67;104,00;60,67;99,67;35,75;81,25;32,50;6,50;46,43;33,43;7,43;22,29;4,88;29,25;22,75;13,00;13,00;11,56;10,11;37,56;2,00;3,00;2,00;1,00;3,00;0,00;1,00
2020-10-04;21,00;273,00;210,00;63,00;84,00;4,20;58,80;33,60;42,00;105,00;58,80;121,80;15,00;78,00;24,00;15,00;50,75;40,25;5,25;24,50;6,00;24,00;31,50;13,50;6,56;9,19;3,94;18,38;0,00;5,00;0,00;1,00;8,00;2,00;0,00
2020-10-11;9,00;117,00;81,00;36,00;63,00;4,50;40,50;40,50;36,00;63,00;36,00;99,00;27,00;30,00;27,00;9,00;55,80;19,80;1,80;14,40;1,50;25,50;24,00;15,00;7,71;7,71;19,29;24,43;4,00;1,00;1,00;0,00;2,00;0,00;1,00
2020-10-18;9,00;117,00;90,00;36,00;58,50;4,50;67,50;54,00;27,00;63,00;36,00;103,50;12,00;42,00;12,00;6,00;57,60;41,40;1,80;14,40;7,50;19,50;25,50;13,50;7,71;6,43;2,57;14,14;6,00;2,00;2,00;0,00;5,00;0,00;0,00
2020-10-25;22,00;242,00;550,00;88,00;44,00;4,40;57,20;39,60;22,00;83,60;35,20;96,80;16,50;27,50;24,75;5,50;45,83;29,33;1,83;25,67;8,80;22,00;22,00;10,27;5,50;6,88;9,63;16,50;0,00;1,00;0,00;0,00;6,00;1,00;0,00
2020-11-01;7,00;126,00;126,00;28,00;24,50;1,75;38,50;28,00;21,00;45,50;21,00;84,00;38,50;31,50;70,00;7,00;22,75;17,50;7,00;15,75;7,00;18,20;16,80;12,60;2,80;11,20;5,60;8,40;3,00;7,00;2,00;1,00;17,00;1,00;0,00
2020-11-08;7,00;126,00;140,00;42,00;24,50;3,50;63,00;21,00;21,00;49,00;14,00;119,00;21,00;18,67;9,33;2,33;29,75;26,25;1,75;19,25;4,20;16,80;12,60;2,80;0,00;4,20;4,20;9,80;1,00;2,00;0,00;0,00;6,00;0,00;0,00
2020-11-15;5,00;90,00;110,00;30,00;55,00;0,00;50,00;30,00;35,00;65,00;30,00;150,00;15,00;25,00;22,50;5,00;18,33;16,67;3,33;15,00;5,00;16,67;13,33;10,00;1,25;3,75;3,75;5,00;2,00;0,00;2,00;0,00;1,00;0,00;0,00
2020-11-22;7,00;140,00;140,00;56,00;38,50;3,50;35,00;28,00;35,00;45,50;21,00;73,50;21,00;38,50;31,50;7,00;28,00;17,50;0,00;19,25;5,60;19,60;15,40;12,60;5,60;7,00;4,20;11,20;6,00;4,00;0,00;1,00;5,00;1,00;0,00
2020-11-29;7,00;154,00;182,00;42,00;31,50;3,50;31,50;35,00;24,50;42,00;28,00;73,50;14,00;23,33;14,00;7,00;22,75;35,00;3,50;17,50;2,80;16,80;11,20;4,20;2,33;3,50;1,17;9,33;6,00;2,00;2,00;1,00;6,00;0,00;0,00
2020-12-06;4,00;72,00;88,00;32,00;32,00;4,00;36,00;32,00;32,00;52,00;28,00;72,00;36,00;72,00;28,00;12,00;16,00;38,00;6,00;20,00;2,00;14,00;22,00;10,00;5,33;9,33;5,33;8,00;1,00;2,00;2,00;1,00;6,00;2,00;1,00
2020-12-13;7,00;126,00;140,00;42,00;28,00;1,75;38,50;24,50;24,50;42,00;10,50;66,50;14,00;25,67;14,00;2,33;17,50;28,00;5,25;15,75;5,60;21,00;9,80;5,60;7,00;8,40;9,80;14,00;1,00;0,00;0,00;0,00;4,00;2,00;0,00
2020-12-20;3,00;60,00;102,00;18,00;24,00;1,50;18,00;33,00;24,00;42,00;6,00;39,00;21,00;27,00;15,00;6,00;33,00;54,00;6,00;21,00;7,50;16,50;10,50;7,50;9,00;1,50;4,50;9,00;1,00;0,00;1,00;4,00;1,00;0,00;0,00
2020-12-27;5,00;100,00;110,00;40,00;40,00;5,00;40,00;50,00;50,00;65,00;30,00;80,00;30,00;32,50;25,00;2,50;16,67;36,67;6,67;11,67;5,00;13,33;25,00;15,00;3,75;3,75;5,00;12,50;3,00;1,00;1,00;1,00;6,00;1,00;3,00
2021-01-03;12,00;132,00;144,00;60,00;52,00;4,00;128,00;36,00;36,00;48,00;36,00;68,00;24,00;36,00;27,00;6,00;18,86;34,29;5,14;17,14;4,50;19,50;13,50;9,00;6,67;9,33;4,00;12,00;6,00;2,00;0,00;0,00;7,00;0,00;1,00
2021-01-10;20,00;240,00;400,00;60,00;52,00;2,00;140,00;36,00;40,00;60,00;24,00;60,00;14,29;45,71;20,00;8,57;16,36;27,27;0,00;16,36;3,08;20,00;10,77;7,69;4,00;9,33;6,67;10,67;2,00;5,00;1,00;0,00;13,00;0,00;0,00
2021-01-17;13,00;143,00;156,00;39,00;43,33;4,33;117,00;43,33;34,67;43,33;21,67;52,00;16,25;19,50;13,00;3,25;20,43;24,14;1,86;16,71;9,75;14,63;21,13;11,38;5,20;3,90;10,40;6,50;2,00;1,00;1,00;3,00;6,00;0,00;1,00
2021-01-24;6,00;108,00;108,00;48,00;42,00;6,00;66,00;48,00;36,00;60,00;36,00;84,00;15,00;30,00;24,00;3,00;22,00;24,00;6,00;22,00;4,50;12,00;6,00;6,00;9,00;6,00;9,00;7,50;2,00;5,00;0,00;0,00;1,00;1,00;0,00
2021-01-31;9,00;90,00;63,00;27,00;58,50;4,50;49,50;31,50;40,50;54,00;22,50;85,50;36,00;30,00;21,00;6,00;14,40;25,20;3,60;16,20;10,50;22,50;15,00;7,50;5,14;5,14;10,29;14,14;2,00;1,00;1,00;1,00;6,00;1,00;1,00
2021-02-07;14,00;154,00;98,00;56,00;32,67;2,33;56,00;28,00;37,33;46,67;18,67;93,33;19,60;30,80;19,60;2,80;17,50;33,25;1,75;19,25;7,78;17,11;12,44;7,78;5,60;5,60;8,40;7,00;1,00;0,00;1,00;0,00;5,00;1,00;0,00
2021-02-14;14,00;140,00;98,00;70,00;42,00;9,33;51,33;32,67;23,33;70,00;37,33;93,33;16,80;25,20;22,40;8,40;19,25;14,00;1,75;8,75;8,40;19,60;9,80;12,60;1,27;6,36;5,09;15,27;5,00;0,00;0,00;2,00;8,00;1,00;0,00
2021-02-21;12,00;132,00;96,00;48,00;40,00;8,00;44,00;24,00;28,00;48,00;28,00;96,00;36,00;33,00;27,00;3,00;17,14;27,43;8,57;17,14;7,50;10,50;10,50;9,00;1,33;8,00;12,00;6,67;6,00;0,00;0,00;1,00;7,00;0,00;0,00
2021-02-28;18,00;180,00;126,00;90,00;58,50;4,50;45,00;36,00;36,00;58,50;27,00;99,00;30,00;66,00;21,00;3,00;16,20;32,40;7,20;18,00;7,50;25,50;16,50;13,50;4,15;5,54;6,92;8,31;1,00;1,00;2,00;2,00;2,00;0,00;1,00
2021-03-07;15,00;150,00;120,00;60,00;52,50;1,88;60,00;26,25;30,00;48,75;18,75;82,50;27,00;54,00;30,00;3,00;23,33;36,67;5,00;13,33;13,50;12,00;13,50;13,50;12,27;6,82;12,27;8,18;3,00;2,00;0,00;1,00;12,00;2,00;0,00
2021-03-14;17,00;204,00;136,00;85,00;59,50;2,13;59,50;34,00;29,75;51,00;29,75;106,25;22,67;31,17;14,17;5,67;28,90;25,50;5,10;20,40;7,08;17,00;2,83;12,75;7,85;7,85;9,15;6,54;2,00;0,00;3,00;0,00;6,00;0,00;1,00
2021-03-21;9,00;72,00;63,00;36,00;40,50;2,25;58,50;40,50;22,50;49,50;27,00;108,00;24,00;33,00;9,00;3,00;23,40;25,20;1,80;16,20;15,00;7,50;12,00;9,00;5,14;5,14;3,86;14,14;6,00;5,00;2,00;0,00;1,00;0,00;0,00
2021-03-28;13,00;130,00;104,00;52,00;43,33;2,17;60,67;43,33;26,00;39,00;26,00;104,00;15,60;26,00;13,00;2,60;30,88;24,38;4,88;17,88;2,89;17,33;10,11;8,67;5,20;5,20;3,90;14,30;4,00;1,00;2,00;1,00;10,00;0,00;0,00
2021-04-04;7,00;154,00;126,00;70,00;35,00;3,50;80,50;56,00;45,50;49,00;14,00;70,00;28,00;42,00;24,50;14,00;31,50;21,00;3,50;8,75;4,20;19,60;9,80;15,40;5,60;5,60;14,00;8,40;6,00;5,00;2,00;2,00;7,00;0,00;1,00
2021-04-11;10,00;110,00;120,00;50,00;50,00;5,00;85,00;75,00;25,00;65,00;25,00;95,00;40,00;36,67;20,00;10,00;34,00;22,00;8,00;18,00;8,33;28,33;20,00;13,33;7,14;5,71;10,00;5,71;4,00;6,00;1,00;2,00;5,00;1,00;4,00
2021-04-18;7,00;140,00;112,00;70,00;31,50;0,00;70,00;38,50;28,00;31,50;28,00;52,50;21,00;18,67;14,00;4,67;14,00;19,25;7,00;17,50;4,20;15,40;15,40;8,40;7,00;7,00;9,80;7,00;5,00;2,00;5,00;0,00;5,00;5,00;1,00
2021-04-25;6,00;108,00;96,00;84,00;72,00;6,00;102,00;66,00;42,00;78,00;48,00;114,00;21,00;33,00;27,00;3,00;27,00;13,50;6,00;10,50;6,00;21,00;24,00;10,50;6,00;9,60;7,20;6,00;2,00;5,00;1,00;1,00;9,00;2,00;1,00
2021-05-02;14,00;182,00;126,00;112,00;65,33;4,67;140,00;74,67;46,67;93,33;51,33;65,33;25,20;44,80;39,20;5,60;35,00;26,25;7,00;12,25;14,00;16,80;16,80;12,60;7,64;6,36;6,36;7,64;2,00;6,00;1,00;2,00;6,00;6,00;2,00
2021-05-09;27,00;162,00;121,50;121,50;94,50;4,50;94,50;90,00;45,00;45,00;45,00;67,50;30,00;45,00;18,00;9,00;48,60;30,60;12,60;19,80;18,00;21,00;10,50;15,00;13,50;5,40;6,75;16,20;7,00;5,00;1,00;1,00;5,00;1,00;2,00
2021-05-16;23,00;345,00;253,00;253,00;69,00;4,60;78,20;101,20;55,20;69,00;59,80;96,60;34,50;63,25;40,25;17,25;51,31;42,46;10,62;17,69;13,80;15,33;19,93;12,27;12,18;17,59;10,82;13,53;5,00;15,00;7,00;2,00;27,00;7,00;0,00
2021-05-23;37,00;314,50;240,50;185,00;82,22;12,33;69,89;143,89;45,22;98,67;61,67;115,11;39,85;62,62;176,46;8,54;58,14;44,05;8,81;28,19;16,28;29,60;14,80;23,68;18,50;7,93;9,25;15,86;4,00;10,00;6,00;4,00;45,00;6,00;4,00
2021-05-30;41,00;232,33;136,67;136,67;98,40;4,10;73,80;147,60;36,90;94,30;57,40;118,90;49,20;65,60;60,13;8,20;44,57;30,30;17,83;24,96;21,96;32,21;16,11;8,79;19,84;9,26;11,90;15,87;5,00;15,00;5,00;1,00;15,00;5,00;7,00
2021-06-06;40,00;500,00;280,00;220,00;120,00;8,89;88,89;164,44;48,89;124,44;75,56;137,78;45,71;82,86;68,57;5,71;63,64;41,82;23,64;21,82;25,19;34,07;19,26;31,11;18,67;14,67;8,00;18,67;6,00;14,00;1,00;4,00;15,00;5,00;2,00
2021-06-13;51,00;408,00;204,00;187,00;157,25;8,50;72,25;195,50;63,75;131,75;89,25;140,25;195,50;85,00;65,17;8,50;63,31;51,00;15,83;35,17;33,00;66,00;24,00;19,50;17,00;15,69;10,46;22,23;13,00;13,00;6,00;6,00;23,00;6,00;5,00
2021-06-20;53,00;600,67;247,33;247,33;150,85;8,15;101,92;232,38;93,77;163,08;101,92;142,69;270,58;111,58;78,11;22,32;56,53;38,87;19,43;38,87;26,50;86,86;26,50;32,39;27,83;25,18;13,25;31,80;8,00;9,00;5,00;9,00;8,00;4,00;2,00
2021-06-27;62,00;573,50;232,50;232,50;144,67;16,53;103,33;157,07;99,20;157,07;90,93;157,07;202,91;93,00;90,18;14,09;92,11;67,31;31,89;31,89;26,57;84,14;29,52;36,90;19,79;18,47;22,43;43,53;12,00;23,00;4,00;12,00;13,00;10,00;6,00
2021-07-04;71,00;674,50;213,00;213,00;179,59;16,71;83,53;91,88;91,88;213,00;108,59;175,41;68,16;127,80;62,48;14,20;86,98;76,33;21,30;40,83;42,90;66,56;36,98;38,46;32,87;21,04;15,78;34,19;14,00;18,00;5,00;10,00;25,00;4,00;4,00
2021-07-11;59,00;516,25;191,75;147,50;172,79;12,64;63,21;71,64;96,93;210,71;122,21;172,79;64,62;151,71;59,00;14,05;64,36;75,09;32,18;44,70;28,03;59,00;30,98;35,40;33,52;16,09;12,07;45,59;9,00;10,00;5,00;9,00;14,00;10,00;0,00
2021-07-18;74,00;592,00;222,00;207,20;201,44;12,33;94,56;90,44;131,56;217,89;152,11;168,56;125,23;179,31;93,92;14,23;63,43;114,52;33,48;42,29;20,72;91,76;32,56;41,44;23,79;25,11;18,50;58,14;8,00;17,00;7,00;10,00;22,00;13,00;7,00
2021-07-25;100,00;783,33;233,33;366,67;220,83;12,50;108,33;137,50;154,17;175,00;183,33;150,00;142,86;205,71;111,43;34,29;94,74;107,02;38,60;38,60;34,33;92,54;40,30;74,63;28,00;28,00;28,00;34,67;13,00;25,00;14,00;13,00;21,00;10,00;4,00
2021-08-01;72,00;828,00;234,00;396,00;258,35;12,71;76,24;177,88;160,94;203,29;160,94;203,29;138,46;238,15;124,62;30,46;98,34;59,71;31,61;52,68;24,00;84,00;45,00;51,00;30,67;21,33;37,33;40,00;5,00;22,00;12,00;7,00;27,00;11,00;4,00
2021-08-08;71,00;940,75;337,25;461,50;196,29;25,06;137,82;171,24;171,24;267,29;137,82;167,06;110,76;187,44;93,72;36,92;72,78;62,13;24,85;39,05;29,58;87,27;45,85;54,73;21,04;40,76;18,41;46,02;11,00;21,00;11,00;13,00;7,00;10,00;3,00
2021-08-15;75,00;630,00;300,00;390,00;179,17;25,00;133,33;200,00;162,50;183,33;129,17;191,67;102,78;152,78;94,44;22,22;69,77;61,05;19,19;50,58;28,50;88,50;58,50;40,50;18,42;15,79;25,00;40,79;15,00;20,00;8,00;7,00;20,00;15,00;7,00
2021-08-22;76,00;684,00;273,60;319,20;219,56;21,11;101,33;215,33;164,67;198,44;122,44;177,33;95,70;152,00;106,96;11,26;72,47;88,37;24,74;38,88;17,88;65,57;32,78;53,65;18,67;38,67;24,00;38,67;8,00;13,00;7,00;7,00;21,00;13,00;4,00
2021-08-29;49,00;620,67;294,00;294,00;191,92;16,33;122,50;138,83;138,83;228,67;110,25;183,75;86,47;144,12;100,88;14,41;73,50;73,50;21,00;31,50;29,70;54,94;35,64;31,18;11,92;22,51;17,22;21,19;8,00;8,00;8,00;4,00;16,00;7,00;5,00
2021-09-05;52,00;693,33;329,33;294,67;173,33;13,00;151,67;208,00;143,00;216,67;134,33;177,67;80,89;164,67;83,78;17,33;83,20;84,93;10,40;38,13;22,29;65,37;37,14;31,20;9,33;16,00;20,00;32,00;7,00;13,00;4,00;4,00;11,00;6,00;6,00
2021-09-12;40,00;940,00;400,00;380,00;231,11;17,78;124,44;253,33;168,89;231,11;151,11;177,78;100,00;148,57;108,57;14,29;90,91;92,73;38,18;45,45;20,74;54,81;40,00;56,30;17,33;30,67;21,33;29,33;10,00;10,00;3,00;10,00;19,00;11,00;1,00
2021-09-19;34,00;850,00;374,00;306,00;204,00;12,75;140,25;182,75;208,25;255,00;144,50;182,75;90,67;113,33;68,00;36,83;91,26;98,42;14,32;46,53;25,13;59,13;32,52;59,13;11,77;22,23;15,69;31,38;12,00;11,00;4,00;3,00;3,00;3,00;3,00
2021-09-26;47,00;830,33;360,33;266,33;205,09;8,55;153,82;209,36;196,55;264,91;106,82;209,36;88,47;96,76;105,06;13,82;64,41;104,44;12,19;34,81;17,63;49,94;51,41;47,00;14,77;16,11;16,11;42,97;8,00;4,00;1,00;9,00;16,00;3,00;1,00
2021-10-03;32,00;880,00;432,00;272,00;212,00;16,00;148,00;212,00;172,00;216,00;116,00;216,00;84,36;90,18;96,00;17,45;76,44;80,00;8,89;33,78;21,82;40,73;40,73;53,82;8,00;20,00;9,33;45,33;16,00;7,00;1,00;5,00;4,00;4,00;1,00
2021-10-10;34,00;1037,00;476,00;289,00;204,00;17,00;131,75;187,00;310,25;306,00;123,25;233,75;82,17;87,83;161,50;14,17;68,00;89,47;8,95;46,53;17,74;65,04;31,04;48,78;17,00;15,69;31,38;51,00;9,00;5,00;5,00;1,00;12,00;3,00;0,00
2021-10-17;29,00;1073,00;391,50;261,00;227,86;24,86;149,14;194,71;248,57;327,29;107,71;211,29;104,40;121,80;121,80;26,10;87,00;90,63;16,31;45,31;19,84;68,68;51,89;56,47;15,82;13,18;13,18;39,55;12,00;6,00;4,00;3,00;15,00;1,00;1,00
2021-10-24;34,00;901,00;459,00;272,00;187,00;12,75;131,75;148,75;170,00;216,75;85,00;165,75;68,00;79,33;90,67;14,17;57,26;82,32;16,11;28,63;10,35;38,43;44,35;42,87;15,69;15,69;10,46;30,08;7,00;10,00;5,00;5,00;5,00;3,00;3,00
2021-10-31;22,00;924,00;594,00;286,00;145,20;17,60;118,80;154,00;162,80;268,40;101,20;184,80;93,50;71,50;90,75;13,75;58,67;77,00;11,00;36,67;16,13;52,80;36,67;42,53;8,25;27,50;16,50;33,00;3,00;8,00;8,00;1,00;11,00;0,00;0,00
2021-11-07;16,00;688,00;400,00;208,00;120,00;8,00;124,00;136,00;140,00;164,00;96,00;164,00;66,67;69,33;58,67;13,33;64,00;110,22;12,44;40,89;18,91;42,18;27,64;24,73;13,33;21,33;9,33;28,00;10,00;5,00;4,00;0,00;10,00;0,00;0,00
2021-11-14;20,00;780,00;460,00;220,00;124,00;12,00;108,00;128,00;140,00;140,00;84,00;164,00;85,71;82,86;80,00;17,14;49,09;85,45;9,09;47,27;6,15;35,38;43,08;40,00;13,33;10,67;17,33;22,67;4,00;3,00;5,00;3,00;5,00;0,00;3,00
2021-11-21;17,00;629,00;408,00;170,00;76,50;8,50;76,50;102,00;284,75;131,75;68,00;174,25;87,83;39,67;28,33;11,33;37,78;77,44;13,22;20,78;4,64;37,09;35,55;34,00;6,54;23,54;10,46;17,00;5,00;0,00;5,00;1,00;4,00;1,00;0,00
2021-11-28;12,00;468,00;228,00;108,00;104,00;8,00;120,00;100,00;112,00;124,00;68,00;172,00;66,00;63,00;45,00;18,00;41,14;87,43;8,57;25,71;7,50;36,00;34,50;31,50;13,33;17,33;6,67;16,00;8,00;3,00;6,00;3,00;5,00;1,00;0,00
2021-12-05;12,00;528,00;216,00;144,00;120,00;8,00;84,00;116,00;96,00;108,00;80,00;156,00;81,00;51,00;45,00;18,00;42,86;106,29;6,86;42,86;4,50;52,50;42,00;34,50;2,67;17,33;12,00;26,67;5,00;7,00;0,00;7,00;11,00;4,00;0,00
2021-12-12;11,00;561,00;209,00;121,00;95,33;18,33;106,33;106,33;110,00;121,00;80,67;234,67;85,25;55,00;52,25;8,25;60,50;56,83;9,17;22,00;16,50;38,50;27,50;42,63;4,13;23,38;4,13;31,63;6,00;3,00;3,00;1,00;10,00;1,00;0,00
2021-12-19;18,00;918,00;342,00;270,00;85,50;4,50;112,50;112,50;175,50;148,50;76,50;261,00;99,00;48,00;48,00;30,00;32,40;84,60;16,20;30,60;15,00;52,50;36,00;36,00;6,43;24,43;10,29;43,71;3,00;0,00;3,00;2,00;9,00;6,00;2,00
2021-12-26;33,00;1336,50;330,00;363,00;132,00;16,50;132,00;165,00;173,25;206,25;86,63;288,75;85,25;74,25;79,75;19,25;50,37;69,47;34,74;31,26;6,00;48,00;52,50;31,50;5,28;55,44;9,24;26,40;6,00;11,00;0,00;6,00;13,00;6,00;3,00
2022-01-02;22,00;1584,00;462,00;462,00;233,20;17,60;149,60;198,00;255,20;176,00;96,80;268,40;115,50;71,50;55,00;5,50;54,15;98,15;13,54;22,00;8,80;45,47;32,27;51,33;16,82;49,18;22,00;44,00;15,00;7,00;1,00;1,00;9,00;1,00;0,00
2022-01-09;42,00;686,00;280,00;252,00;151,20;8,40;138,60;205,80;189,00;147,00;92,40;205,80;114,80;72,80;61,60;22,40;59,50;80,50;24,50;21,00;12,00;43,50;39,00;40,50;14,90;31,16;21,68;39,29;4,00;6,00;3,00;9,00;17,00;3,00;0,00
2022-01-16;30,00;705,00;390,00;285,00;180,00;4,29;184,29;192,86;175,71;141,43;115,71;205,71;106,36;57,27;57,27;10,91;65,29;100,59;28,24;38,82;18,00;72,00;40,50;61,50;9,13;26,09;13,04;30,00;13,00;6,00;4,00;3,00;10,00;1,00;1,00
2022-01-23;35,00;875,00;525,00;367,50;214,38;4,38;179,38;227,50;175,00;148,75;131,25;284,38;96,25;102,08;64,17;14,58;78,75;103,25;8,75;38,50;18,26;63,91;50,22;45,65;16,15;36,35;14,81;35,00;9,00;4,00;7,00;9,00;16,00;7,00;0,00
2022-01-30;28,00;658,00;350,00;308,00;196,00;12,00;140,00;272,00;132,00;180,00;116,00;184,00;109,20;84,00;67,20;5,60;82,25;115,50;14,00;24,50;11,79;60,42;50,11;61,89;20,00;30,67;18,67;37,33;7,00;7,00;1,00;4,00;7,00;3,00;0,00
2022-02-06;24,00;1176,00;648,00;528,00;196,00;20,00;156,00;204,00;160,00;168,00;92,00;200,00;117,00;90,00;84,00;12,00;64,62;136,62;12,92;42,46;16,50;51,00;52,50;63,00;16,00;25,33;16,00;37,33;10,00;4,00;4,00;9,00;15,00;1,00;1,00
2022-02-13;49,00;849,33;555,33;359,33;273,58;8,17;171,50;281,75;151,08;191,92;151,08;183,75;100,88;69,18;98,00;14,41;77,00;113,75;7,00;45,50;23,76;62,36;51,97;56,42;9,27;50,32;17,22;132,43;10,00;6,00;1,00;4,00;10,00;3,00;4,00
2022-02-20;45,00;810,00;480,00;390,00;253,64;16,36;184,09;351,82;155,45;163,64;151,36;216,82;120,94;90,00;64,69;16,88;117,69;115,96;24,23;41,54;33,00;87,00;60,00;63,00;13,24;50,29;13,24;50,29;8,00;6,00;6,00;3,00;6,00;1,00;3,00
2022-02-27;31,00;806,00;558,00;356,50;234,71;8,86;186,00;274,57;168,29;159,43;132,86;287,86;81,73;93,00;78,91;2,82;84,39;80,94;8,61;37,89;31,00;53,14;39,86;56,10;9,43;28,30;18,87;40,43;18,00;5,00;5,00;0,00;13,00;2,00;2,00
